reasoning_type	fn_name	test_id	num_tests	num_correct	test_acc
motion	motion_one_hop	0	24	24	1.0
motion	motion_one_hop	1	36	36	1.0
motion	motion_one_hop	2	36	11	0.3055555555555556
motion	motion_one_hop_jerund	0	72	72	1.0
motion	motion_one_hop_jerund	1	72	72	1.0
motion	motion_one_hop_jerund	2	72	28	0.3888888888888889
motion	non_motion_one_hop	0	24	24	1.0
motion	non_motion_one_hop	1	36	36	1.0
motion	non_motion_one_hop	2	36	36	1.0
motion	non_motion_one_hop_jerund	0	48	48	1.0
motion	non_motion_one_hop_jerund	1	48	37	0.7708333333333334
motion	non_motion_one_hop_jerund	2	48	36	0.75
orientation	cardinals_neutral	0	96	0	0.0
orientation	cardinals_one_hop	0	24	24	1.0
orientation	cardinals_one_hop	1	72	24	0.3333333333333333
orientation	above_below_one_hop	0	160	160	1.0
orientation	above_below_one_hop	1	640	241	0.3765625
orientation	left_right_one_hop	0	360	341	0.9472222222222222
orientation	left_right_one_hop	1	840	570	0.6785714285714286
distance	far_negative	0	60	60	1.0
distance	far_negative	1	60	49	0.8166666666666667
distance	far_negative	2	40	40	1.0
distance	far_negative	3	40	40	1.0
distance	far_positive	0	20	20	1.0
distance	far_positive	1	60	60	1.0
distance	far_positive	2	60	60	1.0
distance	nearby_neutral	0	120	28	0.23333333333333334
distance	nearby_neutral	1	120	30	0.25
distance	not_touching_neutral	0	120	38	0.31666666666666665
distance	not_touching_neutral	1	120	2	0.016666666666666666
distance	not_touching_neutral	2	120	25	0.20833333333333334
distance	not_touching_neutral	3	120	0	0.0
distance	touching_negative	0	120	120	1.0
distance	touching_negative	1	120	120	1.0
distance	touching_negative	2	120	120	1.0
distance	touching_positive	0	120	111	0.925
distance	touching_positive	1	120	120	1.0
distance	touching_positive	2	120	120	1.0
distance	transitivity_negative	0	480	55	0.11458333333333333
containment	filled_with	0	18	18	1.0
containment	filled_with	1	18	13	0.7222222222222222
containment	motion_out_of	0	54	54	1.0
containment	motion_out_of	1	54	54	1.0
containment	motion_out_of	2	36	31	0.8611111111111112
containment	motion_out_of	3	36	27	0.75
containment	movement_into_container	0	54	54	1.0
containment	movement_into_container	1	54	48	0.8888888888888888
containment	movement_into_container	2	36	36	1.0
containment	one_hop_neg	0	72	72	1.0
containment	one_hop_neg	1	72	72	1.0
containment	one_hop_pos	0	216	213	0.9861111111111112
containment	one_hop_pos	1	216	213	0.9861111111111112
containment	one_hop_pos	2	216	200	0.9259259259259259
containment	two_hop_fits_in	0	528	198	0.375
containment	two_hop_fits_in	1	792	192	0.24242424242424243
containment	two_hop_fits_in	2	792	47	0.059343434343434344
containment	two_hop_fits_in	3	792	118	0.14898989898989898
containment	two_hop_fits_in	4	528	30	0.056818181818181816
containment	two_hop_fits_in	5	528	59	0.11174242424242424
containment	two_hop_fits_in	6	528	12	0.022727272727272728
containment	two_hop_is_in	0	1782	998	0.5600448933782267
containment	two_hop_is_in	1	1188	1188	1.0
containment	two_hop_is_in	2	1188	732	0.6161616161616161
containment	two_hop_is_in	3	1188	1126	0.9478114478114478
containment	two_hop_is_in	4	1188	626	0.5269360269360269
containment	two_hop_is_in	5	1188	1188	1.0
containment	two_hop_is_in	6	1188	1188	1.0
metaphor	containment_metaphors_action_into_movement	0	240	7	0.029166666666666667
metaphor	containment_metaphors_action_into_movement	1	240	16	0.06666666666666667
metaphor	containment_metaphors_could_not_contain	0	12	0	0.0
metaphor	containment_metaphors_energy_into	0	12	0	0.0
metaphor	containment_metaphors_energy_into	1	12	0	0.0
metaphor	containment_metaphors_entity_in_state	0	20	5	0.25
metaphor	containment_metaphors_filled_with_emotion	0	12	0	0.0
metaphor	containment_metaphors_got_out_of	0	12	5	0.4166666666666667
metaphor	containment_metaphors_in_motion	0	9	0	0.0
metaphor	containment_metaphors_material_in	0	9	0	0.0
metaphor	containment_metaphors_outside_of	0	36	0	0.0
metaphor	distance_metaphors_close_to_goal	0	36	0	0.0
metaphor	distance_metaphors_close_to_goal	1	36	0	0.0
metaphor	distance_metaphors_close_to_goal	2	36	0	0.0
metaphor	distance_metaphors_far_from_achieving	0	36	0	0.0
metaphor	distance_metaphors_far_from_achieving	1	36	10	0.2777777777777778
metaphor	motion_metaphors_flying	0	4	4	1.0
metaphor	motion_metaphors_flying	1	4	0	0.0
metaphor	motion_metaphors_jumping	0	12	0	0.0
metaphor	motion_metaphors_jumping	1	12	0	0.0
metaphor	motion_metaphors_moving_toward_agreement	0	36	0	0.0
metaphor	motion_metaphors_skipping	0	16	0	0.0
metaphor	motion_metaphors_skipping	1	16	0	0.0
metaphor	orientation_metaphors_behind	0	12	12	1.0
metaphor	orientation_metaphors_down	0	4	4	1.0
metaphor	orientation_metaphors_down	1	4	4	1.0
metaphor	orientation_metaphors_looking_forward	0	12	12	1.0
