reasoning_type	fn_name	test_id	num_tests	num_correct	test_acc
motion	motion_one_hop	0	24	16	0.6666666666666666
motion	motion_one_hop	1	36	31	0.8611111111111112
motion	motion_one_hop	2	36	6	0.16666666666666666
motion	motion_one_hop_jerund	0	72	50	0.6944444444444444
motion	motion_one_hop_jerund	1	72	60	0.8333333333333334
motion	motion_one_hop_jerund	2	72	18	0.25
motion	non_motion_one_hop	0	24	7	0.2916666666666667
motion	non_motion_one_hop	1	36	27	0.75
motion	non_motion_one_hop	2	36	4	0.1111111111111111
motion	non_motion_one_hop_jerund	0	48	20	0.4166666666666667
motion	non_motion_one_hop_jerund	1	48	26	0.5416666666666666
motion	non_motion_one_hop_jerund	2	48	9	0.1875
orientation	cardinals_neutral	0	96	0	0.0
orientation	cardinals_one_hop	0	24	2	0.08333333333333333
orientation	cardinals_one_hop	1	72	54	0.75
orientation	left_right_above_below_one_hop	0	520	276	0.5307692307692308
orientation	left_right_above_below_one_hop	1	1480	1103	0.7452702702702703
distance	far_negative	0	60	59	0.9833333333333333
distance	far_negative	1	60	60	1.0
distance	far_negative	2	40	28	0.7
distance	far_negative	3	40	28	0.7
distance	far_positive	0	20	0	0.0
distance	far_positive	1	60	10	0.16666666666666666
distance	far_positive	2	60	6	0.1
distance	nearby_neutral	0	120	5	0.041666666666666664
distance	nearby_neutral	1	120	1	0.008333333333333333
distance	not_touching_neutral	0	120	11	0.09166666666666666
distance	not_touching_neutral	1	120	6	0.05
distance	not_touching_neutral	2	120	26	0.21666666666666667
distance	not_touching_neutral	3	120	1	0.008333333333333333
distance	touching_negative	0	120	114	0.95
distance	touching_negative	1	120	118	0.9833333333333333
distance	touching_negative	2	120	117	0.975
distance	touching_positive	0	120	33	0.275
distance	touching_positive	1	120	15	0.125
distance	touching_positive	2	120	30	0.25
distance	transitivity_negative	0	480	314	0.6541666666666667
containment	filled_with	0	18	5	0.2777777777777778
containment	filled_with	1	18	17	0.9444444444444444
containment	motion_out_of	0	54	20	0.37037037037037035
containment	motion_out_of	1	54	41	0.7592592592592593
containment	motion_out_of	2	36	35	0.9722222222222222
containment	motion_out_of	3	36	10	0.2777777777777778
containment	movement_into_container	0	54	15	0.2777777777777778
containment	movement_into_container	1	54	45	0.8333333333333334
containment	movement_into_container	2	36	36	1.0
containment	one_hop_neg	0	72	38	0.5277777777777778
containment	one_hop_neg	1	72	0	0.0
containment	one_hop_pos	0	216	91	0.4212962962962963
containment	one_hop_pos	1	216	29	0.13425925925925927
containment	one_hop_pos	2	216	90	0.4166666666666667
containment	two_hop_fits_in	0	528	391	0.740530303030303
containment	two_hop_fits_in	1	792	3	0.003787878787878788
containment	two_hop_fits_in	2	792	206	0.2601010101010101
containment	two_hop_fits_in	3	792	198	0.25
containment	two_hop_fits_in	4	528	20	0.03787878787878788
containment	two_hop_fits_in	5	528	30	0.056818181818181816
containment	two_hop_fits_in	6	528	100	0.1893939393939394
containment	two_hop_is_in	0	1782	386	0.2166105499438833
containment	two_hop_is_in	1	1188	453	0.3813131313131313
containment	two_hop_is_in	2	1188	459	0.38636363636363635
containment	two_hop_is_in	3	1188	252	0.21212121212121213
containment	two_hop_is_in	4	1188	619	0.5210437710437711
containment	two_hop_is_in	5	1188	406	0.34175084175084175
containment	two_hop_is_in	6	1188	712	0.5993265993265994
metaphor	containment_metaphors_action_into_movement	0	240	192	0.8
metaphor	containment_metaphors_action_into_movement	1	240	182	0.7583333333333333
metaphor	containment_metaphors_could_not_contain	0	12	8	0.6666666666666666
metaphor	containment_metaphors_energy_into	0	12	0	0.0
metaphor	containment_metaphors_energy_into	1	12	1	0.08333333333333333
metaphor	containment_metaphors_entity_in_state	0	20	15	0.75
metaphor	containment_metaphors_filled_with_emotion	0	12	5	0.4166666666666667
metaphor	containment_metaphors_got_out_of	0	12	6	0.5
metaphor	containment_metaphors_in_motion	0	9	2	0.2222222222222222
metaphor	containment_metaphors_material_in	0	9	4	0.4444444444444444
metaphor	containment_metaphors_outside_of	0	36	36	1.0
metaphor	distance_metaphors_close_to_goal	0	36	36	1.0
metaphor	distance_metaphors_close_to_goal	1	36	36	1.0
metaphor	distance_metaphors_close_to_goal	2	36	36	1.0
metaphor	distance_metaphors_far_from_achieving	0	36	36	1.0
metaphor	distance_metaphors_far_from_achieving	1	36	36	1.0
metaphor	motion_metaphors_flying	0	4	0	0.0
metaphor	motion_metaphors_flying	1	4	1	0.25
metaphor	motion_metaphors_jumping	0	12	5	0.4166666666666667
metaphor	motion_metaphors_jumping	1	12	8	0.6666666666666666
metaphor	motion_metaphors_moving_toward_agreement	0	36	36	1.0
metaphor	motion_metaphors_skipping	0	16	5	0.3125
metaphor	motion_metaphors_skipping	1	16	12	0.75
metaphor	orientation_metaphors_behind	0	12	0	0.0
metaphor	orientation_metaphors_down	0	4	3	0.75
metaphor	orientation_metaphors_down	1	4	0	0.0
metaphor	orientation_metaphors_looking_forward	0	12	11	0.9166666666666666
