reasoning_type	fn_name	test_id	num_tests	num_correct	test_acc
motion	motion_one_hop	0	24	24	1.0
motion	motion_one_hop	1	36	28	0.7777777777777778
motion	motion_one_hop	2	36	6	0.16666666666666666
motion	motion_one_hop_jerund	0	72	72	1.0
motion	motion_one_hop_jerund	1	72	72	1.0
motion	motion_one_hop_jerund	2	72	0	0.0
motion	non_motion_one_hop	0	24	24	1.0
motion	non_motion_one_hop	1	36	28	0.7777777777777778
motion	non_motion_one_hop	2	36	0	0.0
motion	non_motion_one_hop_jerund	0	48	44	0.9166666666666666
motion	non_motion_one_hop_jerund	1	48	35	0.7291666666666666
motion	non_motion_one_hop_jerund	2	48	2	0.041666666666666664
orientation	cardinals_neutral	0	96	0	0.0
orientation	cardinals_one_hop	0	24	3	0.125
orientation	cardinals_one_hop	1	72	38	0.5277777777777778
orientation	left_right_above_below_one_hop	0	520	12	0.023076923076923078
orientation	left_right_above_below_one_hop	1	1480	881	0.5952702702702702
distance	far_negative	0	60	48	0.8
distance	far_negative	1	60	55	0.9166666666666666
distance	far_negative	2	40	35	0.875
distance	far_negative	3	40	27	0.675
distance	far_positive	0	20	19	0.95
distance	far_positive	1	60	47	0.7833333333333333
distance	far_positive	2	60	58	0.9666666666666667
distance	nearby_neutral	0	120	0	0.0
distance	nearby_neutral	1	120	0	0.0
distance	not_touching_neutral	0	120	0	0.0
distance	not_touching_neutral	1	120	0	0.0
distance	not_touching_neutral	2	120	1	0.008333333333333333
distance	not_touching_neutral	3	120	0	0.0
distance	touching_negative	0	120	120	1.0
distance	touching_negative	1	120	120	1.0
distance	touching_negative	2	120	120	1.0
distance	touching_positive	0	120	93	0.775
distance	touching_positive	1	120	120	1.0
distance	touching_positive	2	120	112	0.9333333333333333
distance	transitivity_negative	0	480	181	0.3770833333333333
containment	filled_with	0	18	17	0.9444444444444444
containment	filled_with	1	18	0	0.0
containment	motion_out_of	0	54	32	0.5925925925925926
containment	motion_out_of	1	54	6	0.1111111111111111
containment	motion_out_of	2	36	0	0.0
containment	motion_out_of	3	36	36	1.0
containment	movement_into_container	0	54	54	1.0
containment	movement_into_container	1	54	7	0.12962962962962962
containment	movement_into_container	2	36	34	0.9444444444444444
containment	one_hop_neg	0	72	72	1.0
containment	one_hop_neg	1	72	69	0.9583333333333334
containment	one_hop_pos	0	216	104	0.48148148148148145
containment	one_hop_pos	1	216	215	0.9953703703703703
containment	one_hop_pos	2	216	171	0.7916666666666666
containment	two_hop_fits_in	0	528	355	0.6723484848484849
containment	two_hop_fits_in	1	792	0	0.0
containment	two_hop_fits_in	2	792	0	0.0
containment	two_hop_fits_in	3	792	0	0.0
containment	two_hop_fits_in	4	528	0	0.0
containment	two_hop_fits_in	5	528	0	0.0
containment	two_hop_fits_in	6	528	0	0.0
containment	two_hop_is_in	0	1782	1396	0.7833894500561167
containment	two_hop_is_in	1	1188	1188	1.0
containment	two_hop_is_in	2	1188	1031	0.8678451178451179
containment	two_hop_is_in	3	1188	1188	1.0
containment	two_hop_is_in	4	1188	976	0.8215488215488216
containment	two_hop_is_in	5	1188	510	0.4292929292929293
containment	two_hop_is_in	6	1188	477	0.4015151515151515
metaphor	containment_metaphors_action_into_movement	0	240	22	0.09166666666666666
metaphor	containment_metaphors_action_into_movement	1	240	31	0.12916666666666668
metaphor	containment_metaphors_could_not_contain	0	12	0	0.0
metaphor	containment_metaphors_energy_into	0	12	0	0.0
metaphor	containment_metaphors_energy_into	1	12	0	0.0
metaphor	containment_metaphors_entity_in_state	0	20	0	0.0
metaphor	containment_metaphors_filled_with_emotion	0	12	0	0.0
metaphor	containment_metaphors_got_out_of	0	12	0	0.0
metaphor	containment_metaphors_in_motion	0	9	0	0.0
metaphor	containment_metaphors_material_in	0	9	0	0.0
metaphor	containment_metaphors_outside_of	0	36	0	0.0
metaphor	distance_metaphors_close_to_goal	0	36	0	0.0
metaphor	distance_metaphors_close_to_goal	1	36	0	0.0
metaphor	distance_metaphors_close_to_goal	2	36	0	0.0
metaphor	distance_metaphors_far_from_achieving	0	36	0	0.0
metaphor	distance_metaphors_far_from_achieving	1	36	0	0.0
metaphor	motion_metaphors_flying	0	4	1	0.25
metaphor	motion_metaphors_flying	1	4	0	0.0
metaphor	motion_metaphors_jumping	0	12	0	0.0
metaphor	motion_metaphors_jumping	1	12	0	0.0
metaphor	motion_metaphors_moving_toward_agreement	0	36	0	0.0
metaphor	motion_metaphors_skipping	0	16	0	0.0
metaphor	motion_metaphors_skipping	1	16	0	0.0
metaphor	orientation_metaphors_behind	0	12	12	1.0
metaphor	orientation_metaphors_down	0	4	4	1.0
metaphor	orientation_metaphors_down	1	4	4	1.0
metaphor	orientation_metaphors_looking_forward	0	12	0	0.0
