reasoning_type	fn_name	test_id	num_tests	num_correct	test_acc
motion	motion_one_hop	0	24	0	0.0
motion	motion_one_hop	1	36	36	1.0
motion	motion_one_hop	2	36	0	0.0
motion	motion_one_hop_jerund	0	72	0	0.0
motion	motion_one_hop_jerund	1	72	69	0.9583333333333334
motion	motion_one_hop_jerund	2	72	0	0.0
motion	non_motion_one_hop	0	24	0	0.0
motion	non_motion_one_hop	1	36	36	1.0
motion	non_motion_one_hop	2	36	0	0.0
motion	non_motion_one_hop_jerund	0	48	0	0.0
motion	non_motion_one_hop_jerund	1	48	44	0.9166666666666666
motion	non_motion_one_hop_jerund	2	48	4	0.08333333333333333
orientation	cardinals_neutral	0	96	0	0.0
orientation	cardinals_one_hop	0	24	0	0.0
orientation	cardinals_one_hop	1	72	72	1.0
orientation	above_below_one_hop	0	160	0	0.0
orientation	above_below_one_hop	1	640	287	0.4484375
orientation	left_right_one_hop	0	360	0	0.0
orientation	left_right_one_hop	1	840	687	0.8178571428571428
distance	far_negative	0	60	59	0.9833333333333333
distance	far_negative	1	60	60	1.0
distance	far_negative	2	40	40	1.0
distance	far_negative	3	40	40	1.0
distance	far_positive	0	20	0	0.0
distance	far_positive	1	60	0	0.0
distance	far_positive	2	60	0	0.0
distance	nearby_neutral	0	120	0	0.0
distance	nearby_neutral	1	120	0	0.0
distance	not_touching_neutral	0	120	0	0.0
distance	not_touching_neutral	1	120	0	0.0
distance	not_touching_neutral	2	120	0	0.0
distance	not_touching_neutral	3	120	0	0.0
distance	touching_negative	0	120	120	1.0
distance	touching_negative	1	120	120	1.0
distance	touching_negative	2	120	120	1.0
distance	touching_positive	0	120	0	0.0
distance	touching_positive	1	120	0	0.0
distance	touching_positive	2	120	0	0.0
distance	transitivity_negative	0	480	480	1.0
containment	filled_with	0	18	0	0.0
containment	filled_with	1	18	16	0.8888888888888888
containment	motion_out_of	0	54	0	0.0
containment	motion_out_of	1	54	45	0.8333333333333334
containment	motion_out_of	2	36	16	0.4444444444444444
containment	motion_out_of	3	36	0	0.0
containment	movement_into_container	0	54	0	0.0
containment	movement_into_container	1	54	38	0.7037037037037037
containment	movement_into_container	2	36	12	0.3333333333333333
containment	one_hop_neg	0	72	68	0.9444444444444444
containment	one_hop_neg	1	72	0	0.0
containment	one_hop_pos	0	216	0	0.0
containment	one_hop_pos	1	216	0	0.0
containment	one_hop_pos	2	216	0	0.0
containment	two_hop_fits_in	0	528	0	0.0
containment	two_hop_fits_in	1	792	216	0.2727272727272727
containment	two_hop_fits_in	2	792	167	0.21085858585858586
containment	two_hop_fits_in	3	792	243	0.3068181818181818
containment	two_hop_fits_in	4	528	69	0.13068181818181818
containment	two_hop_fits_in	5	528	54	0.10227272727272728
containment	two_hop_fits_in	6	528	106	0.20075757575757575
containment	two_hop_is_in	0	1782	0	0.0
containment	two_hop_is_in	1	1188	0	0.0
containment	two_hop_is_in	2	1188	0	0.0
containment	two_hop_is_in	3	1188	0	0.0
containment	two_hop_is_in	4	1188	0	0.0
containment	two_hop_is_in	5	1188	670	0.563973063973064
containment	two_hop_is_in	6	1188	883	0.7432659932659933
metaphor	containment_metaphors_action_into_movement	0	240	240	1.0
metaphor	containment_metaphors_action_into_movement	1	240	240	1.0
metaphor	containment_metaphors_could_not_contain	0	12	12	1.0
metaphor	containment_metaphors_energy_into	0	12	12	1.0
metaphor	containment_metaphors_energy_into	1	12	12	1.0
metaphor	containment_metaphors_entity_in_state	0	20	20	1.0
metaphor	containment_metaphors_filled_with_emotion	0	12	12	1.0
metaphor	containment_metaphors_got_out_of	0	12	12	1.0
metaphor	containment_metaphors_in_motion	0	9	9	1.0
metaphor	containment_metaphors_material_in	0	9	9	1.0
metaphor	containment_metaphors_outside_of	0	36	36	1.0
metaphor	distance_metaphors_close_to_goal	0	36	36	1.0
metaphor	distance_metaphors_close_to_goal	1	36	36	1.0
metaphor	distance_metaphors_close_to_goal	2	36	36	1.0
metaphor	distance_metaphors_far_from_achieving	0	36	36	1.0
metaphor	distance_metaphors_far_from_achieving	1	36	36	1.0
metaphor	motion_metaphors_flying	0	4	0	0.0
metaphor	motion_metaphors_flying	1	4	4	1.0
metaphor	motion_metaphors_jumping	0	12	12	1.0
metaphor	motion_metaphors_jumping	1	12	11	0.9166666666666666
metaphor	motion_metaphors_moving_toward_agreement	0	36	36	1.0
metaphor	motion_metaphors_skipping	0	16	16	1.0
metaphor	motion_metaphors_skipping	1	16	15	0.9375
metaphor	orientation_metaphors_behind	0	12	12	1.0
metaphor	orientation_metaphors_down	0	4	0	0.0
metaphor	orientation_metaphors_down	1	4	4	1.0
metaphor	orientation_metaphors_looking_forward	0	12	12	1.0
