reasoning_type	fn_name	test_id	num_tests	num_correct	test_acc
motion	motion_one_hop	0	24	0	0.0
motion	motion_one_hop	1	36	18	0.5
motion	motion_one_hop	2	36	36	1.0
motion	motion_one_hop_jerund	0	72	0	0.0
motion	motion_one_hop_jerund	1	72	61	0.8472222222222222
motion	motion_one_hop_jerund	2	72	45	0.625
motion	non_motion_one_hop	0	24	0	0.0
motion	non_motion_one_hop	1	36	22	0.6111111111111112
motion	non_motion_one_hop	2	36	25	0.6944444444444444
motion	non_motion_one_hop_jerund	0	48	0	0.0
motion	non_motion_one_hop_jerund	1	48	15	0.3125
motion	non_motion_one_hop_jerund	2	48	43	0.8958333333333334
orientation	cardinals_neutral	0	96	16	0.16666666666666666
orientation	cardinals_one_hop	0	24	0	0.0
orientation	cardinals_one_hop	1	72	48	0.6666666666666666
orientation	above_below_one_hop	0	160	0	0.0
orientation	above_below_one_hop	1	640	120	0.1875
orientation	left_right_one_hop	0	360	0	0.0
orientation	left_right_one_hop	1	840	155	0.18452380952380953
distance	far_negative	0	60	60	1.0
distance	far_negative	1	60	60	1.0
distance	far_negative	2	40	40	1.0
distance	far_negative	3	40	31	0.775
distance	far_positive	0	20	0	0.0
distance	far_positive	1	60	0	0.0
distance	far_positive	2	60	0	0.0
distance	nearby_neutral	0	120	120	1.0
distance	nearby_neutral	1	120	120	1.0
distance	not_touching_neutral	0	120	0	0.0
distance	not_touching_neutral	1	120	120	1.0
distance	not_touching_neutral	2	120	0	0.0
distance	not_touching_neutral	3	120	120	1.0
distance	touching_negative	0	120	120	1.0
distance	touching_negative	1	120	120	1.0
distance	touching_negative	2	120	100	0.8333333333333334
distance	touching_positive	0	120	0	0.0
distance	touching_positive	1	120	0	0.0
distance	touching_positive	2	120	0	0.0
distance	transitivity_negative	0	480	0	0.0
containment	filled_with	0	18	0	0.0
containment	filled_with	1	18	2	0.1111111111111111
containment	motion_out_of	0	54	0	0.0
containment	motion_out_of	1	54	19	0.35185185185185186
containment	motion_out_of	2	36	0	0.0
containment	motion_out_of	3	36	0	0.0
containment	movement_into_container	0	54	0	0.0
containment	movement_into_container	1	54	0	0.0
containment	movement_into_container	2	36	11	0.3055555555555556
containment	one_hop_neg	0	72	72	1.0
containment	one_hop_neg	1	72	1	0.013888888888888888
containment	one_hop_pos	0	216	0	0.0
containment	one_hop_pos	1	216	0	0.0
containment	one_hop_pos	2	216	0	0.0
containment	two_hop_fits_in	0	528	83	0.1571969696969697
containment	two_hop_fits_in	1	792	792	1.0
containment	two_hop_fits_in	2	792	792	1.0
containment	two_hop_fits_in	3	792	792	1.0
containment	two_hop_fits_in	4	528	528	1.0
containment	two_hop_fits_in	5	528	528	1.0
containment	two_hop_fits_in	6	528	528	1.0
containment	two_hop_is_in	0	1782	23	0.012906846240179574
containment	two_hop_is_in	1	1188	0	0.0
containment	two_hop_is_in	2	1188	0	0.0
containment	two_hop_is_in	3	1188	0	0.0
containment	two_hop_is_in	4	1188	0	0.0
containment	two_hop_is_in	5	1188	0	0.0
containment	two_hop_is_in	6	1188	0	0.0
metaphor	containment_metaphors_action_into_movement	0	240	0	0.0
metaphor	containment_metaphors_action_into_movement	1	240	12	0.05
metaphor	containment_metaphors_could_not_contain	0	12	12	1.0
metaphor	containment_metaphors_energy_into	0	12	12	1.0
metaphor	containment_metaphors_energy_into	1	12	12	1.0
metaphor	containment_metaphors_entity_in_state	0	20	20	1.0
metaphor	containment_metaphors_filled_with_emotion	0	12	12	1.0
metaphor	containment_metaphors_got_out_of	0	12	12	1.0
metaphor	containment_metaphors_in_motion	0	9	9	1.0
metaphor	containment_metaphors_material_in	0	9	9	1.0
metaphor	containment_metaphors_outside_of	0	36	36	1.0
metaphor	distance_metaphors_close_to_goal	0	36	36	1.0
metaphor	distance_metaphors_close_to_goal	1	36	36	1.0
metaphor	distance_metaphors_close_to_goal	2	36	36	1.0
metaphor	distance_metaphors_far_from_achieving	0	36	36	1.0
metaphor	distance_metaphors_far_from_achieving	1	36	36	1.0
metaphor	motion_metaphors_flying	0	4	0	0.0
metaphor	motion_metaphors_flying	1	4	4	1.0
metaphor	motion_metaphors_jumping	0	12	0	0.0
metaphor	motion_metaphors_jumping	1	12	0	0.0
metaphor	motion_metaphors_moving_toward_agreement	0	36	36	1.0
metaphor	motion_metaphors_skipping	0	16	8	0.5
metaphor	motion_metaphors_skipping	1	16	9	0.5625
metaphor	orientation_metaphors_behind	0	12	12	1.0
metaphor	orientation_metaphors_down	0	4	0	0.0
metaphor	orientation_metaphors_down	1	4	4	1.0
metaphor	orientation_metaphors_looking_forward	0	12	12	1.0
