reasoning_type	fn_name	test_id	num_tests	num_correct	test_acc
motion	motion_one_hop	0	24	24	1.0
motion	motion_one_hop	1	36	36	1.0
motion	motion_one_hop	2	36	26	0.7222222222222222
motion	motion_one_hop_jerund	0	72	72	1.0
motion	motion_one_hop_jerund	1	72	72	1.0
motion	motion_one_hop_jerund	2	72	12	0.16666666666666666
motion	non_motion_one_hop	0	24	24	1.0
motion	non_motion_one_hop	1	36	36	1.0
motion	non_motion_one_hop	2	36	36	1.0
motion	non_motion_one_hop_jerund	0	48	48	1.0
motion	non_motion_one_hop_jerund	1	48	20	0.4166666666666667
motion	non_motion_one_hop_jerund	2	48	36	0.75
orientation	cardinals_neutral	0	96	0	0.0
orientation	cardinals_one_hop	0	24	18	0.75
orientation	cardinals_one_hop	1	72	24	0.3333333333333333
orientation	above_below_one_hop	0	160	153	0.95625
orientation	above_below_one_hop	1	640	192	0.3
orientation	left_right_one_hop	0	360	299	0.8305555555555556
orientation	left_right_one_hop	1	840	541	0.6440476190476191
distance	far_negative	0	60	60	1.0
distance	far_negative	1	60	45	0.75
distance	far_negative	2	40	40	1.0
distance	far_negative	3	40	40	1.0
distance	far_positive	0	20	15	0.75
distance	far_positive	1	60	60	1.0
distance	far_positive	2	60	60	1.0
distance	nearby_neutral	0	120	18	0.15
distance	nearby_neutral	1	120	29	0.24166666666666667
distance	not_touching_neutral	0	120	12	0.1
distance	not_touching_neutral	1	120	0	0.0
distance	not_touching_neutral	2	120	28	0.23333333333333334
distance	not_touching_neutral	3	120	0	0.0
distance	touching_negative	0	120	120	1.0
distance	touching_negative	1	120	120	1.0
distance	touching_negative	2	120	120	1.0
distance	touching_positive	0	120	42	0.35
distance	touching_positive	1	120	120	1.0
distance	touching_positive	2	120	120	1.0
distance	transitivity_negative	0	480	337	0.7020833333333333
containment	filled_with	0	18	18	1.0
containment	filled_with	1	18	4	0.2222222222222222
containment	motion_out_of	0	54	54	1.0
containment	motion_out_of	1	54	35	0.6481481481481481
containment	motion_out_of	2	36	4	0.1111111111111111
containment	motion_out_of	3	36	2	0.05555555555555555
containment	movement_into_container	0	54	54	1.0
containment	movement_into_container	1	54	38	0.7037037037037037
containment	movement_into_container	2	36	20	0.5555555555555556
containment	one_hop_neg	0	72	68	0.9444444444444444
containment	one_hop_neg	1	72	72	1.0
containment	one_hop_pos	0	216	211	0.9768518518518519
containment	one_hop_pos	1	216	216	1.0
containment	one_hop_pos	2	216	194	0.8981481481481481
containment	two_hop_fits_in	0	528	502	0.9507575757575758
containment	two_hop_fits_in	1	792	13	0.016414141414141416
containment	two_hop_fits_in	2	792	111	0.14015151515151514
containment	two_hop_fits_in	3	792	142	0.17929292929292928
containment	two_hop_fits_in	4	528	1	0.001893939393939394
containment	two_hop_fits_in	5	528	55	0.10416666666666667
containment	two_hop_fits_in	6	528	1	0.001893939393939394
containment	two_hop_is_in	0	1782	1309	0.7345679012345679
containment	two_hop_is_in	1	1188	1181	0.9941077441077442
containment	two_hop_is_in	2	1188	704	0.5925925925925926
containment	two_hop_is_in	3	1188	1123	0.9452861952861953
containment	two_hop_is_in	4	1188	1082	0.9107744107744108
containment	two_hop_is_in	5	1188	1126	0.9478114478114478
containment	two_hop_is_in	6	1188	1160	0.9764309764309764
metaphor	containment_metaphors_action_into_movement	0	240	8	0.03333333333333333
metaphor	containment_metaphors_action_into_movement	1	240	23	0.09583333333333334
metaphor	containment_metaphors_could_not_contain	0	12	12	1.0
metaphor	containment_metaphors_energy_into	0	12	0	0.0
metaphor	containment_metaphors_energy_into	1	12	0	0.0
metaphor	containment_metaphors_entity_in_state	0	20	0	0.0
metaphor	containment_metaphors_filled_with_emotion	0	12	0	0.0
metaphor	containment_metaphors_got_out_of	0	12	12	1.0
metaphor	containment_metaphors_in_motion	0	9	4	0.4444444444444444
metaphor	containment_metaphors_material_in	0	9	0	0.0
metaphor	containment_metaphors_outside_of	0	36	2	0.05555555555555555
metaphor	distance_metaphors_close_to_goal	0	36	0	0.0
metaphor	distance_metaphors_close_to_goal	1	36	0	0.0
metaphor	distance_metaphors_close_to_goal	2	36	0	0.0
metaphor	distance_metaphors_far_from_achieving	0	36	0	0.0
metaphor	distance_metaphors_far_from_achieving	1	36	0	0.0
metaphor	motion_metaphors_flying	0	4	4	1.0
metaphor	motion_metaphors_flying	1	4	0	0.0
metaphor	motion_metaphors_jumping	0	12	0	0.0
metaphor	motion_metaphors_jumping	1	12	0	0.0
metaphor	motion_metaphors_moving_toward_agreement	0	36	0	0.0
metaphor	motion_metaphors_skipping	0	16	0	0.0
metaphor	motion_metaphors_skipping	1	16	0	0.0
metaphor	orientation_metaphors_behind	0	12	12	1.0
metaphor	orientation_metaphors_down	0	4	4	1.0
metaphor	orientation_metaphors_down	1	4	4	1.0
metaphor	orientation_metaphors_looking_forward	0	12	12	1.0
