reasoning_type	fn_name	test_id	num_tests	num_correct	test_acc
motion	motion_one_hop	0	24	24	1.0
motion	motion_one_hop	1	36	36	1.0
motion	motion_one_hop	2	36	23	0.6388888888888888
motion	motion_one_hop_jerund	0	72	72	1.0
motion	motion_one_hop_jerund	1	72	72	1.0
motion	motion_one_hop_jerund	2	72	42	0.5833333333333334
motion	non_motion_one_hop	0	24	24	1.0
motion	non_motion_one_hop	1	36	36	1.0
motion	non_motion_one_hop	2	36	36	1.0
motion	non_motion_one_hop_jerund	0	48	48	1.0
motion	non_motion_one_hop_jerund	1	48	33	0.6875
motion	non_motion_one_hop_jerund	2	48	40	0.8333333333333334
orientation	cardinals_neutral	0	96	0	0.0
orientation	cardinals_one_hop	0	24	24	1.0
orientation	cardinals_one_hop	1	72	25	0.3472222222222222
orientation	left_right_above_below_one_hop	0	160	160	1.0
orientation	left_right_above_below_one_hop	1	640	389	0.6078125
orientation	left_right_one_hop	0	360	242	0.6722222222222223
orientation	left_right_one_hop	1	840	504	0.6
distance	far_negative	0	60	51	0.85
distance	far_negative	1	60	45	0.75
distance	far_negative	2	40	40	1.0
distance	far_negative	3	40	40	1.0
distance	far_positive	0	20	20	1.0
distance	far_positive	1	60	60	1.0
distance	far_positive	2	60	60	1.0
distance	nearby_neutral	0	120	50	0.4166666666666667
distance	nearby_neutral	1	120	41	0.3416666666666667
distance	not_touching_neutral	0	120	9	0.075
distance	not_touching_neutral	1	120	0	0.0
distance	not_touching_neutral	2	120	3	0.025
distance	not_touching_neutral	3	120	0	0.0
distance	touching_negative	0	120	120	1.0
distance	touching_negative	1	120	120	1.0
distance	touching_negative	2	120	120	1.0
distance	touching_positive	0	120	111	0.925
distance	touching_positive	1	120	120	1.0
distance	touching_positive	2	120	120	1.0
distance	transitivity_negative	0	480	55	0.11458333333333333
containment	filled_with	0	18	18	1.0
containment	filled_with	1	18	10	0.5555555555555556
containment	motion_out_of	0	54	54	1.0
containment	motion_out_of	1	54	37	0.6851851851851852
containment	motion_out_of	2	36	34	0.9444444444444444
containment	motion_out_of	3	36	13	0.3611111111111111
containment	movement_into_container	0	54	54	1.0
containment	movement_into_container	1	54	34	0.6296296296296297
containment	movement_into_container	2	36	27	0.75
containment	one_hop_neg	0	72	72	1.0
containment	one_hop_neg	1	72	72	1.0
containment	one_hop_pos	0	216	216	1.0
containment	one_hop_pos	1	216	209	0.9675925925925926
containment	one_hop_pos	2	216	207	0.9583333333333334
containment	two_hop_fits_in	0	528	423	0.8011363636363636
containment	two_hop_fits_in	1	792	14	0.017676767676767676
containment	two_hop_fits_in	2	792	96	0.12121212121212122
containment	two_hop_fits_in	3	792	45	0.056818181818181816
containment	two_hop_fits_in	4	528	2	0.003787878787878788
containment	two_hop_fits_in	5	528	68	0.12878787878787878
containment	two_hop_fits_in	6	528	0	0.0
containment	two_hop_is_in	0	1782	1295	0.7267115600448933
containment	two_hop_is_in	1	1188	1188	1.0
containment	two_hop_is_in	2	1188	504	0.42424242424242425
containment	two_hop_is_in	3	1188	1068	0.898989898989899
containment	two_hop_is_in	4	1188	1003	0.8442760942760943
containment	two_hop_is_in	5	1188	1188	1.0
containment	two_hop_is_in	6	1188	1188	1.0
metaphor	containment_metaphors_action_into_movement	0	240	4	0.016666666666666666
metaphor	containment_metaphors_action_into_movement	1	240	17	0.07083333333333333
metaphor	containment_metaphors_could_not_contain	0	12	9	0.75
metaphor	containment_metaphors_energy_into	0	12	0	0.0
metaphor	containment_metaphors_energy_into	1	12	0	0.0
metaphor	containment_metaphors_entity_in_state	0	20	15	0.75
metaphor	containment_metaphors_filled_with_emotion	0	12	0	0.0
metaphor	containment_metaphors_got_out_of	0	12	0	0.0
metaphor	containment_metaphors_in_motion	0	9	2	0.2222222222222222
metaphor	containment_metaphors_material_in	0	9	0	0.0
metaphor	containment_metaphors_outside_of	0	36	0	0.0
metaphor	distance_metaphors_close_to_goal	0	36	0	0.0
metaphor	distance_metaphors_close_to_goal	1	36	0	0.0
metaphor	distance_metaphors_close_to_goal	2	36	0	0.0
metaphor	distance_metaphors_far_from_achieving	0	36	0	0.0
metaphor	distance_metaphors_far_from_achieving	1	36	0	0.0
metaphor	motion_metaphors_flying	0	4	4	1.0
metaphor	motion_metaphors_flying	1	4	0	0.0
metaphor	motion_metaphors_jumping	0	12	0	0.0
metaphor	motion_metaphors_jumping	1	12	0	0.0
metaphor	motion_metaphors_moving_toward_agreement	0	36	0	0.0
metaphor	motion_metaphors_skipping	0	16	0	0.0
metaphor	motion_metaphors_skipping	1	16	0	0.0
metaphor	orientation_metaphors_behind	0	12	8	0.6666666666666666
metaphor	orientation_metaphors_down	0	4	4	1.0
metaphor	orientation_metaphors_down	1	4	4	1.0
metaphor	orientation_metaphors_looking_forward	0	12	12	1.0
