reasoning_type	fn_name	test_id	num_tests	num_correct	test_acc
motion	motion_one_hop	0	24	24	1.0
motion	motion_one_hop	1	36	34	0.9444444444444444
motion	motion_one_hop	2	36	28	0.7777777777777778
motion	motion_one_hop_jerund	0	72	72	1.0
motion	motion_one_hop_jerund	1	72	68	0.9444444444444444
motion	motion_one_hop_jerund	2	72	17	0.2361111111111111
motion	non_motion_one_hop	0	24	24	1.0
motion	non_motion_one_hop	1	36	28	0.7777777777777778
motion	non_motion_one_hop	2	36	29	0.8055555555555556
motion	non_motion_one_hop_jerund	0	48	46	0.9583333333333334
motion	non_motion_one_hop_jerund	1	48	28	0.5833333333333334
motion	non_motion_one_hop_jerund	2	48	32	0.6666666666666666
orientation	cardinals_neutral	0	96	0	0.0
orientation	cardinals_one_hop	0	24	24	1.0
orientation	cardinals_one_hop	1	72	24	0.3333333333333333
orientation	left_right_above_below_one_hop	0	160	122	0.7625
orientation	left_right_above_below_one_hop	1	640	492	0.76875
orientation	left_right_one_hop	0	360	194	0.5388888888888889
orientation	left_right_one_hop	1	840	579	0.6892857142857143
distance	far_negative	0	60	60	1.0
distance	far_negative	1	60	30	0.5
distance	far_negative	2	40	40	1.0
distance	far_negative	3	40	39	0.975
distance	far_positive	0	20	0	0.0
distance	far_positive	1	60	60	1.0
distance	far_positive	2	60	60	1.0
distance	nearby_neutral	0	120	1	0.008333333333333333
distance	nearby_neutral	1	120	3	0.025
distance	not_touching_neutral	0	120	0	0.0
distance	not_touching_neutral	1	120	0	0.0
distance	not_touching_neutral	2	120	0	0.0
distance	not_touching_neutral	3	120	0	0.0
distance	touching_negative	0	120	120	1.0
distance	touching_negative	1	120	120	1.0
distance	touching_negative	2	120	120	1.0
distance	touching_positive	0	120	0	0.0
distance	touching_positive	1	120	120	1.0
distance	touching_positive	2	120	120	1.0
distance	transitivity_negative	0	480	62	0.12916666666666668
containment	filled_with	0	18	18	1.0
containment	filled_with	1	18	4	0.2222222222222222
containment	motion_out_of	0	54	50	0.9259259259259259
containment	motion_out_of	1	54	35	0.6481481481481481
containment	motion_out_of	2	36	0	0.0
containment	motion_out_of	3	36	19	0.5277777777777778
containment	movement_into_container	0	54	54	1.0
containment	movement_into_container	1	54	44	0.8148148148148148
containment	movement_into_container	2	36	28	0.7777777777777778
containment	one_hop_neg	0	72	72	1.0
containment	one_hop_neg	1	72	64	0.8888888888888888
containment	one_hop_pos	0	216	187	0.8657407407407407
containment	one_hop_pos	1	216	203	0.9398148148148148
containment	one_hop_pos	2	216	206	0.9537037037037037
containment	two_hop_fits_in	0	528	254	0.4810606060606061
containment	two_hop_fits_in	1	792	236	0.29797979797979796
containment	two_hop_fits_in	2	792	0	0.0
containment	two_hop_fits_in	3	792	20	0.025252525252525252
containment	two_hop_fits_in	4	528	60	0.11363636363636363
containment	two_hop_fits_in	5	528	0	0.0
containment	two_hop_fits_in	6	528	0	0.0
containment	two_hop_is_in	0	1782	1011	0.5673400673400674
containment	two_hop_is_in	1	1188	980	0.8249158249158249
containment	two_hop_is_in	2	1188	726	0.6111111111111112
containment	two_hop_is_in	3	1188	1151	0.9688552188552189
containment	two_hop_is_in	4	1188	796	0.67003367003367
containment	two_hop_is_in	5	1188	1032	0.8686868686868687
containment	two_hop_is_in	6	1188	1170	0.9848484848484849
metaphor	containment_metaphors_action_into_movement	0	240	26	0.10833333333333334
metaphor	containment_metaphors_action_into_movement	1	240	5	0.020833333333333332
metaphor	containment_metaphors_could_not_contain	0	12	4	0.3333333333333333
metaphor	containment_metaphors_energy_into	0	12	0	0.0
metaphor	containment_metaphors_energy_into	1	12	0	0.0
metaphor	containment_metaphors_entity_in_state	0	20	16	0.8
metaphor	containment_metaphors_filled_with_emotion	0	12	0	0.0
metaphor	containment_metaphors_got_out_of	0	12	8	0.6666666666666666
metaphor	containment_metaphors_in_motion	0	9	0	0.0
metaphor	containment_metaphors_material_in	0	9	0	0.0
metaphor	containment_metaphors_outside_of	0	36	0	0.0
metaphor	distance_metaphors_close_to_goal	0	36	0	0.0
metaphor	distance_metaphors_close_to_goal	1	36	0	0.0
metaphor	distance_metaphors_close_to_goal	2	36	0	0.0
metaphor	distance_metaphors_far_from_achieving	0	36	8	0.2222222222222222
metaphor	distance_metaphors_far_from_achieving	1	36	0	0.0
metaphor	motion_metaphors_flying	0	4	4	1.0
metaphor	motion_metaphors_flying	1	4	0	0.0
metaphor	motion_metaphors_jumping	0	12	0	0.0
metaphor	motion_metaphors_jumping	1	12	0	0.0
metaphor	motion_metaphors_moving_toward_agreement	0	36	0	0.0
metaphor	motion_metaphors_skipping	0	16	0	0.0
metaphor	motion_metaphors_skipping	1	16	0	0.0
metaphor	orientation_metaphors_behind	0	12	12	1.0
metaphor	orientation_metaphors_down	0	4	0	0.0
metaphor	orientation_metaphors_down	1	4	4	1.0
metaphor	orientation_metaphors_looking_forward	0	12	12	1.0
