reasoning_type	fn_name	test_id	num_tests	num_correct	test_acc
motion	motion_one_hop	0	24	24	1.0
motion	motion_one_hop	1	36	36	1.0
motion	motion_one_hop	2	36	20	0.5555555555555556
motion	motion_one_hop_jerund	0	72	72	1.0
motion	motion_one_hop_jerund	1	72	72	1.0
motion	motion_one_hop_jerund	2	72	15	0.20833333333333334
motion	non_motion_one_hop	0	24	24	1.0
motion	non_motion_one_hop	1	36	36	1.0
motion	non_motion_one_hop	2	36	30	0.8333333333333334
motion	non_motion_one_hop_jerund	0	48	44	0.9166666666666666
motion	non_motion_one_hop_jerund	1	48	32	0.6666666666666666
motion	non_motion_one_hop_jerund	2	48	40	0.8333333333333334
orientation	cardinals_neutral	0	96	0	0.0
orientation	cardinals_one_hop	0	24	21	0.875
orientation	cardinals_one_hop	1	72	37	0.5138888888888888
orientation	left_right_above_below_one_hop	0	520	181	0.34807692307692306
orientation	left_right_above_below_one_hop	1	1480	960	0.6486486486486487
distance	far_negative	0	60	60	1.0
distance	far_negative	1	60	55	0.9166666666666666
distance	far_negative	2	40	40	1.0
distance	far_negative	3	40	37	0.925
distance	far_positive	0	20	9	0.45
distance	far_positive	1	60	60	1.0
distance	far_positive	2	60	60	1.0
distance	nearby_neutral	0	120	0	0.0
distance	nearby_neutral	1	120	0	0.0
distance	not_touching_neutral	0	120	0	0.0
distance	not_touching_neutral	1	120	0	0.0
distance	not_touching_neutral	2	120	1	0.008333333333333333
distance	not_touching_neutral	3	120	0	0.0
distance	touching_negative	0	120	111	0.925
distance	touching_negative	1	120	120	1.0
distance	touching_negative	2	120	120	1.0
distance	touching_positive	0	120	27	0.225
distance	touching_positive	1	120	120	1.0
distance	touching_positive	2	120	120	1.0
distance	transitivity_negative	0	480	405	0.84375
containment	filled_with	0	18	18	1.0
containment	filled_with	1	18	8	0.4444444444444444
containment	motion_out_of	0	54	42	0.7777777777777778
containment	motion_out_of	1	54	25	0.46296296296296297
containment	motion_out_of	2	36	0	0.0
containment	motion_out_of	3	36	11	0.3055555555555556
containment	movement_into_container	0	54	54	1.0
containment	movement_into_container	1	54	40	0.7407407407407407
containment	movement_into_container	2	36	27	0.75
containment	one_hop_neg	0	72	72	1.0
containment	one_hop_neg	1	72	72	1.0
containment	one_hop_pos	0	216	207	0.9583333333333334
containment	one_hop_pos	1	216	199	0.9212962962962963
containment	one_hop_pos	2	216	216	1.0
containment	two_hop_fits_in	0	528	288	0.5454545454545454
containment	two_hop_fits_in	1	792	0	0.0
containment	two_hop_fits_in	2	792	0	0.0
containment	two_hop_fits_in	3	792	0	0.0
containment	two_hop_fits_in	4	528	8	0.015151515151515152
containment	two_hop_fits_in	5	528	0	0.0
containment	two_hop_fits_in	6	528	1	0.001893939393939394
containment	two_hop_is_in	0	1782	282	0.15824915824915825
containment	two_hop_is_in	1	1188	1132	0.9528619528619529
containment	two_hop_is_in	2	1188	134	0.1127946127946128
containment	two_hop_is_in	3	1188	754	0.6346801346801347
containment	two_hop_is_in	4	1188	693	0.5833333333333334
containment	two_hop_is_in	5	1188	1187	0.9991582491582491
containment	two_hop_is_in	6	1188	1172	0.9865319865319865
metaphor	containment_metaphors_action_into_movement	0	240	35	0.14583333333333334
metaphor	containment_metaphors_action_into_movement	1	240	26	0.10833333333333334
metaphor	containment_metaphors_could_not_contain	0	12	12	1.0
metaphor	containment_metaphors_energy_into	0	12	0	0.0
metaphor	containment_metaphors_energy_into	1	12	0	0.0
metaphor	containment_metaphors_entity_in_state	0	20	10	0.5
metaphor	containment_metaphors_filled_with_emotion	0	12	0	0.0
metaphor	containment_metaphors_got_out_of	0	12	8	0.6666666666666666
metaphor	containment_metaphors_in_motion	0	9	0	0.0
metaphor	containment_metaphors_material_in	0	9	0	0.0
metaphor	containment_metaphors_outside_of	0	36	0	0.0
metaphor	distance_metaphors_close_to_goal	0	36	0	0.0
metaphor	distance_metaphors_close_to_goal	1	36	0	0.0
metaphor	distance_metaphors_close_to_goal	2	36	0	0.0
metaphor	distance_metaphors_far_from_achieving	0	36	2	0.05555555555555555
metaphor	distance_metaphors_far_from_achieving	1	36	12	0.3333333333333333
metaphor	motion_metaphors_flying	0	4	4	1.0
metaphor	motion_metaphors_flying	1	4	0	0.0
metaphor	motion_metaphors_jumping	0	12	0	0.0
metaphor	motion_metaphors_jumping	1	12	0	0.0
metaphor	motion_metaphors_moving_toward_agreement	0	36	0	0.0
metaphor	motion_metaphors_skipping	0	16	0	0.0
metaphor	motion_metaphors_skipping	1	16	0	0.0
metaphor	orientation_metaphors_behind	0	12	12	1.0
metaphor	orientation_metaphors_down	0	4	4	1.0
metaphor	orientation_metaphors_down	1	4	4	1.0
metaphor	orientation_metaphors_looking_forward	0	12	12	1.0
