reasoning_type	fn_name	test_id	num_tests	num_correct	test_acc
motion	motion_one_hop	0	24	24	1.0
motion	motion_one_hop	1	36	28	0.7777777777777778
motion	motion_one_hop	2	36	23	0.6388888888888888
motion	motion_one_hop_jerund	0	72	72	1.0
motion	motion_one_hop_jerund	1	72	72	1.0
motion	motion_one_hop_jerund	2	72	25	0.3472222222222222
motion	non_motion_one_hop	0	24	24	1.0
motion	non_motion_one_hop	1	36	28	0.7777777777777778
motion	non_motion_one_hop	2	36	33	0.9166666666666666
motion	non_motion_one_hop_jerund	0	48	42	0.875
motion	non_motion_one_hop_jerund	1	48	24	0.5
motion	non_motion_one_hop_jerund	2	48	43	0.8958333333333334
orientation	cardinals_neutral	0	96	0	0.0
orientation	cardinals_one_hop	0	24	7	0.2916666666666667
orientation	cardinals_one_hop	1	72	61	0.8472222222222222
orientation	left_right_above_below_one_hop	0	520	0	0.0
orientation	left_right_above_below_one_hop	1	1480	371	0.25067567567567567
distance	far_negative	0	60	60	1.0
distance	far_negative	1	60	60	1.0
distance	far_negative	2	40	40	1.0
distance	far_negative	3	40	40	1.0
distance	far_positive	0	20	10	0.5
distance	far_positive	1	60	60	1.0
distance	far_positive	2	60	60	1.0
distance	nearby_neutral	0	120	0	0.0
distance	nearby_neutral	1	120	0	0.0
distance	not_touching_neutral	0	120	0	0.0
distance	not_touching_neutral	1	120	0	0.0
distance	not_touching_neutral	2	120	0	0.0
distance	not_touching_neutral	3	120	0	0.0
distance	touching_negative	0	120	120	1.0
distance	touching_negative	1	120	120	1.0
distance	touching_negative	2	120	120	1.0
distance	touching_positive	0	120	12	0.1
distance	touching_positive	1	120	120	1.0
distance	touching_positive	2	120	120	1.0
distance	transitivity_negative	0	480	150	0.3125
containment	filled_with	0	18	17	0.9444444444444444
containment	filled_with	1	18	1	0.05555555555555555
containment	motion_out_of	0	54	20	0.37037037037037035
containment	motion_out_of	1	54	36	0.6666666666666666
containment	motion_out_of	2	36	0	0.0
containment	motion_out_of	3	36	19	0.5277777777777778
containment	movement_into_container	0	54	54	1.0
containment	movement_into_container	1	54	1	0.018518518518518517
containment	movement_into_container	2	36	32	0.8888888888888888
containment	one_hop_neg	0	72	72	1.0
containment	one_hop_neg	1	72	72	1.0
containment	one_hop_pos	0	216	203	0.9398148148148148
containment	one_hop_pos	1	216	216	1.0
containment	one_hop_pos	2	216	216	1.0
containment	two_hop_fits_in	0	528	525	0.9943181818181818
containment	two_hop_fits_in	1	792	0	0.0
containment	two_hop_fits_in	2	792	0	0.0
containment	two_hop_fits_in	3	792	0	0.0
containment	two_hop_fits_in	4	528	2	0.003787878787878788
containment	two_hop_fits_in	5	528	2	0.003787878787878788
containment	two_hop_fits_in	6	528	2	0.003787878787878788
containment	two_hop_is_in	0	1782	1508	0.8462401795735129
containment	two_hop_is_in	1	1188	1188	1.0
containment	two_hop_is_in	2	1188	992	0.835016835016835
containment	two_hop_is_in	3	1188	1171	0.9856902356902357
containment	two_hop_is_in	4	1188	1016	0.8552188552188552
containment	two_hop_is_in	5	1188	107	0.09006734006734007
containment	two_hop_is_in	6	1188	340	0.28619528619528617
metaphor	containment_metaphors_action_into_movement	0	240	24	0.1
metaphor	containment_metaphors_action_into_movement	1	240	30	0.125
metaphor	containment_metaphors_could_not_contain	0	12	7	0.5833333333333334
metaphor	containment_metaphors_energy_into	0	12	0	0.0
metaphor	containment_metaphors_energy_into	1	12	2	0.16666666666666666
metaphor	containment_metaphors_entity_in_state	0	20	15	0.75
metaphor	containment_metaphors_filled_with_emotion	0	12	0	0.0
metaphor	containment_metaphors_got_out_of	0	12	12	1.0
metaphor	containment_metaphors_in_motion	0	9	0	0.0
metaphor	containment_metaphors_material_in	0	9	0	0.0
metaphor	containment_metaphors_outside_of	0	36	0	0.0
metaphor	distance_metaphors_close_to_goal	0	36	0	0.0
metaphor	distance_metaphors_close_to_goal	1	36	0	0.0
metaphor	distance_metaphors_close_to_goal	2	36	0	0.0
metaphor	distance_metaphors_far_from_achieving	0	36	0	0.0
metaphor	distance_metaphors_far_from_achieving	1	36	0	0.0
metaphor	motion_metaphors_flying	0	4	4	1.0
metaphor	motion_metaphors_flying	1	4	0	0.0
metaphor	motion_metaphors_jumping	0	12	0	0.0
metaphor	motion_metaphors_jumping	1	12	0	0.0
metaphor	motion_metaphors_moving_toward_agreement	0	36	0	0.0
metaphor	motion_metaphors_skipping	0	16	0	0.0
metaphor	motion_metaphors_skipping	1	16	0	0.0
metaphor	orientation_metaphors_behind	0	12	12	1.0
metaphor	orientation_metaphors_down	0	4	4	1.0
metaphor	orientation_metaphors_down	1	4	4	1.0
metaphor	orientation_metaphors_looking_forward	0	12	12	1.0
