reasoning_type	fn_name	test_id	num_tests	num_correct	test_acc
motion	motion_one_hop	0	24	24	1.0
motion	motion_one_hop	1	36	36	1.0
motion	motion_one_hop	2	36	0	0.0
motion	motion_one_hop_jerund	0	72	72	1.0
motion	motion_one_hop_jerund	1	72	70	0.9722222222222222
motion	motion_one_hop_jerund	2	72	0	0.0
motion	non_motion_one_hop	0	24	24	1.0
motion	non_motion_one_hop	1	36	29	0.8055555555555556
motion	non_motion_one_hop	2	36	5	0.1388888888888889
motion	non_motion_one_hop_jerund	0	48	45	0.9375
motion	non_motion_one_hop_jerund	1	48	42	0.875
motion	non_motion_one_hop_jerund	2	48	0	0.0
orientation	cardinals_neutral	0	96	0	0.0
orientation	cardinals_one_hop	0	24	24	1.0
orientation	cardinals_one_hop	1	72	71	0.9861111111111112
orientation	above_below_one_hop	0	160	64	0.4
orientation	above_below_one_hop	1	640	538	0.840625
orientation	left_right_one_hop	0	360	240	0.6666666666666666
orientation	left_right_one_hop	1	840	726	0.8642857142857143
distance	far_negative	0	60	51	0.85
distance	far_negative	1	60	51	0.85
distance	far_negative	2	40	38	0.95
distance	far_negative	3	40	40	1.0
distance	far_positive	0	20	11	0.55
distance	far_positive	1	60	60	1.0
distance	far_positive	2	60	60	1.0
distance	nearby_neutral	0	120	0	0.0
distance	nearby_neutral	1	120	0	0.0
distance	not_touching_neutral	0	120	0	0.0
distance	not_touching_neutral	1	120	0	0.0
distance	not_touching_neutral	2	120	0	0.0
distance	not_touching_neutral	3	120	0	0.0
distance	touching_negative	0	120	99	0.825
distance	touching_negative	1	120	120	1.0
distance	touching_negative	2	120	114	0.95
distance	touching_positive	0	120	105	0.875
distance	touching_positive	1	120	120	1.0
distance	touching_positive	2	120	120	1.0
distance	transitivity_negative	0	480	237	0.49375
containment	filled_with	0	18	18	1.0
containment	filled_with	1	18	18	1.0
containment	motion_out_of	0	54	36	0.6666666666666666
containment	motion_out_of	1	54	53	0.9814814814814815
containment	motion_out_of	2	36	18	0.5
containment	motion_out_of	3	36	16	0.4444444444444444
containment	movement_into_container	0	54	54	1.0
containment	movement_into_container	1	54	48	0.8888888888888888
containment	movement_into_container	2	36	27	0.75
containment	one_hop_neg	0	72	72	1.0
containment	one_hop_neg	1	72	72	1.0
containment	one_hop_pos	0	216	198	0.9166666666666666
containment	one_hop_pos	1	216	157	0.7268518518518519
containment	one_hop_pos	2	216	108	0.5
containment	two_hop_fits_in	0	528	214	0.4053030303030303
containment	two_hop_fits_in	1	792	0	0.0
containment	two_hop_fits_in	2	792	0	0.0
containment	two_hop_fits_in	3	792	0	0.0
containment	two_hop_fits_in	4	528	0	0.0
containment	two_hop_fits_in	5	528	0	0.0
containment	two_hop_fits_in	6	528	0	0.0
containment	two_hop_is_in	0	1782	1707	0.9579124579124579
containment	two_hop_is_in	1	1188	774	0.6515151515151515
containment	two_hop_is_in	2	1188	711	0.5984848484848485
containment	two_hop_is_in	3	1188	837	0.7045454545454546
containment	two_hop_is_in	4	1188	585	0.49242424242424243
containment	two_hop_is_in	5	1188	1180	0.9932659932659933
containment	two_hop_is_in	6	1188	1188	1.0
metaphor	containment_metaphors_action_into_movement	0	240	152	0.6333333333333333
metaphor	containment_metaphors_action_into_movement	1	240	179	0.7458333333333333
metaphor	containment_metaphors_could_not_contain	0	12	12	1.0
metaphor	containment_metaphors_energy_into	0	12	12	1.0
metaphor	containment_metaphors_energy_into	1	12	12	1.0
metaphor	containment_metaphors_entity_in_state	0	20	19	0.95
metaphor	containment_metaphors_filled_with_emotion	0	12	0	0.0
metaphor	containment_metaphors_got_out_of	0	12	7	0.5833333333333334
metaphor	containment_metaphors_in_motion	0	9	9	1.0
metaphor	containment_metaphors_material_in	0	9	0	0.0
metaphor	containment_metaphors_outside_of	0	36	36	1.0
metaphor	distance_metaphors_close_to_goal	0	36	0	0.0
metaphor	distance_metaphors_close_to_goal	1	36	0	0.0
metaphor	distance_metaphors_close_to_goal	2	36	0	0.0
metaphor	distance_metaphors_far_from_achieving	0	36	0	0.0
metaphor	distance_metaphors_far_from_achieving	1	36	14	0.3888888888888889
metaphor	motion_metaphors_flying	0	4	0	0.0
metaphor	motion_metaphors_flying	1	4	3	0.75
metaphor	motion_metaphors_jumping	0	12	4	0.3333333333333333
metaphor	motion_metaphors_jumping	1	12	0	0.0
metaphor	motion_metaphors_moving_toward_agreement	0	36	0	0.0
metaphor	motion_metaphors_skipping	0	16	0	0.0
metaphor	motion_metaphors_skipping	1	16	1	0.0625
metaphor	orientation_metaphors_behind	0	12	12	1.0
metaphor	orientation_metaphors_down	0	4	4	1.0
metaphor	orientation_metaphors_down	1	4	4	1.0
metaphor	orientation_metaphors_looking_forward	0	12	12	1.0
