reasoning_type	fn_name	test_id	num_tests	num_correct	test_acc
motion	motion_one_hop	0	24	0	0.0
motion	motion_one_hop	1	36	28	0.7777777777777778
motion	motion_one_hop	2	36	0	0.0
motion	motion_one_hop_jerund	0	72	0	0.0
motion	motion_one_hop_jerund	1	72	69	0.9583333333333334
motion	motion_one_hop_jerund	2	72	0	0.0
motion	non_motion_one_hop	0	24	0	0.0
motion	non_motion_one_hop	1	36	28	0.7777777777777778
motion	non_motion_one_hop	2	36	0	0.0
motion	non_motion_one_hop_jerund	0	48	0	0.0
motion	non_motion_one_hop_jerund	1	48	24	0.5
motion	non_motion_one_hop_jerund	2	48	0	0.0
orientation	cardinals_neutral	0	96	0	0.0
orientation	cardinals_one_hop	0	24	0	0.0
orientation	cardinals_one_hop	1	72	39	0.5416666666666666
orientation	left_right_above_below_one_hop	0	520	0	0.0
orientation	left_right_above_below_one_hop	1	1480	1180	0.7972972972972973
distance	far_negative	0	60	60	1.0
distance	far_negative	1	60	60	1.0
distance	far_negative	2	40	40	1.0
distance	far_negative	3	40	40	1.0
distance	far_positive	0	20	0	0.0
distance	far_positive	1	60	0	0.0
distance	far_positive	2	60	0	0.0
distance	nearby_neutral	0	120	120	1.0
distance	nearby_neutral	1	120	86	0.7166666666666667
distance	not_touching_neutral	0	120	0	0.0
distance	not_touching_neutral	1	120	120	1.0
distance	not_touching_neutral	2	120	0	0.0
distance	not_touching_neutral	3	120	120	1.0
distance	touching_negative	0	120	120	1.0
distance	touching_negative	1	120	120	1.0
distance	touching_negative	2	120	120	1.0
distance	touching_positive	0	120	0	0.0
distance	touching_positive	1	120	0	0.0
distance	touching_positive	2	120	0	0.0
distance	transitivity_negative	0	480	363	0.75625
containment	filled_with	0	18	6	0.3333333333333333
containment	filled_with	1	18	0	0.0
containment	motion_out_of	0	54	0	0.0
containment	motion_out_of	1	54	19	0.35185185185185186
containment	motion_out_of	2	36	1	0.027777777777777776
containment	motion_out_of	3	36	5	0.1388888888888889
containment	movement_into_container	0	54	0	0.0
containment	movement_into_container	1	54	1	0.018518518518518517
containment	movement_into_container	2	36	36	1.0
containment	one_hop_neg	0	72	72	1.0
containment	one_hop_neg	1	72	0	0.0
containment	one_hop_pos	0	216	29	0.13425925925925927
containment	one_hop_pos	1	216	0	0.0
containment	one_hop_pos	2	216	1	0.004629629629629629
containment	two_hop_fits_in	0	528	0	0.0
containment	two_hop_fits_in	1	792	391	0.4936868686868687
containment	two_hop_fits_in	2	792	428	0.5404040404040404
containment	two_hop_fits_in	3	792	792	1.0
containment	two_hop_fits_in	4	528	461	0.8731060606060606
containment	two_hop_fits_in	5	528	329	0.6231060606060606
containment	two_hop_fits_in	6	528	523	0.990530303030303
containment	two_hop_is_in	0	1782	0	0.0
containment	two_hop_is_in	1	1188	309	0.2601010101010101
containment	two_hop_is_in	2	1188	0	0.0
containment	two_hop_is_in	3	1188	0	0.0
containment	two_hop_is_in	4	1188	30	0.025252525252525252
containment	two_hop_is_in	5	1188	157	0.13215488215488216
containment	two_hop_is_in	6	1188	245	0.20622895622895623
metaphor	containment_metaphors_action_into_movement	0	240	1	0.004166666666666667
metaphor	containment_metaphors_action_into_movement	1	240	10	0.041666666666666664
metaphor	containment_metaphors_could_not_contain	0	12	0	0.0
metaphor	containment_metaphors_energy_into	0	12	11	0.9166666666666666
metaphor	containment_metaphors_energy_into	1	12	10	0.8333333333333334
metaphor	containment_metaphors_entity_in_state	0	20	3	0.15
metaphor	containment_metaphors_filled_with_emotion	0	12	12	1.0
metaphor	containment_metaphors_got_out_of	0	12	12	1.0
metaphor	containment_metaphors_in_motion	0	9	9	1.0
metaphor	containment_metaphors_material_in	0	9	9	1.0
metaphor	containment_metaphors_outside_of	0	36	36	1.0
metaphor	distance_metaphors_close_to_goal	0	36	36	1.0
metaphor	distance_metaphors_close_to_goal	1	36	36	1.0
metaphor	distance_metaphors_close_to_goal	2	36	36	1.0
metaphor	distance_metaphors_far_from_achieving	0	36	36	1.0
metaphor	distance_metaphors_far_from_achieving	1	36	36	1.0
metaphor	motion_metaphors_flying	0	4	0	0.0
metaphor	motion_metaphors_flying	1	4	4	1.0
metaphor	motion_metaphors_jumping	0	12	0	0.0
metaphor	motion_metaphors_jumping	1	12	0	0.0
metaphor	motion_metaphors_moving_toward_agreement	0	36	36	1.0
metaphor	motion_metaphors_skipping	0	16	0	0.0
metaphor	motion_metaphors_skipping	1	16	0	0.0
metaphor	orientation_metaphors_behind	0	12	12	1.0
metaphor	orientation_metaphors_down	0	4	0	0.0
metaphor	orientation_metaphors_down	1	4	4	1.0
metaphor	orientation_metaphors_looking_forward	0	12	12	1.0
