reasoning_type	fn_name	test_id	num_tests	num_correct	test_acc
motion	motion_one_hop	0	24	24	1.0
motion	motion_one_hop	1	36	36	1.0
motion	motion_one_hop	2	36	16	0.4444444444444444
motion	motion_one_hop_jerund	0	72	72	1.0
motion	motion_one_hop_jerund	1	72	72	1.0
motion	motion_one_hop_jerund	2	72	12	0.16666666666666666
motion	non_motion_one_hop	0	24	24	1.0
motion	non_motion_one_hop	1	36	32	0.8888888888888888
motion	non_motion_one_hop	2	36	35	0.9722222222222222
motion	non_motion_one_hop_jerund	0	48	40	0.8333333333333334
motion	non_motion_one_hop_jerund	1	48	40	0.8333333333333334
motion	non_motion_one_hop_jerund	2	48	32	0.6666666666666666
orientation	cardinals_neutral	0	96	0	0.0
orientation	cardinals_one_hop	0	24	24	1.0
orientation	cardinals_one_hop	1	72	24	0.3333333333333333
orientation	above_below_one_hop	0	160	95	0.59375
orientation	above_below_one_hop	1	640	227	0.3546875
orientation	left_right_one_hop	0	360	355	0.9861111111111112
orientation	left_right_one_hop	1	840	470	0.5595238095238095
distance	far_negative	0	60	60	1.0
distance	far_negative	1	60	53	0.8833333333333333
distance	far_negative	2	40	40	1.0
distance	far_negative	3	40	40	1.0
distance	far_positive	0	20	8	0.4
distance	far_positive	1	60	60	1.0
distance	far_positive	2	60	60	1.0
distance	nearby_neutral	0	120	39	0.325
distance	nearby_neutral	1	120	31	0.25833333333333336
distance	not_touching_neutral	0	120	45	0.375
distance	not_touching_neutral	1	120	0	0.0
distance	not_touching_neutral	2	120	46	0.38333333333333336
distance	not_touching_neutral	3	120	0	0.0
distance	touching_negative	0	120	120	1.0
distance	touching_negative	1	120	120	1.0
distance	touching_negative	2	120	120	1.0
distance	touching_positive	0	120	39	0.325
distance	touching_positive	1	120	120	1.0
distance	touching_positive	2	120	120	1.0
distance	transitivity_negative	0	480	464	0.9666666666666667
containment	filled_with	0	18	18	1.0
containment	filled_with	1	18	0	0.0
containment	motion_out_of	0	54	43	0.7962962962962963
containment	motion_out_of	1	54	45	0.8333333333333334
containment	motion_out_of	2	36	4	0.1111111111111111
containment	motion_out_of	3	36	18	0.5
containment	movement_into_container	0	54	54	1.0
containment	movement_into_container	1	54	22	0.4074074074074074
containment	movement_into_container	2	36	32	0.8888888888888888
containment	one_hop_neg	0	72	72	1.0
containment	one_hop_neg	1	72	72	1.0
containment	one_hop_pos	0	216	207	0.9583333333333334
containment	one_hop_pos	1	216	216	1.0
containment	one_hop_pos	2	216	214	0.9907407407407407
containment	two_hop_fits_in	0	528	390	0.7386363636363636
containment	two_hop_fits_in	1	792	4	0.005050505050505051
containment	two_hop_fits_in	2	792	39	0.04924242424242424
containment	two_hop_fits_in	3	792	32	0.04040404040404041
containment	two_hop_fits_in	4	528	0	0.0
containment	two_hop_fits_in	5	528	0	0.0
containment	two_hop_fits_in	6	528	0	0.0
containment	two_hop_is_in	0	1782	655	0.3675645342312009
containment	two_hop_is_in	1	1188	1188	1.0
containment	two_hop_is_in	2	1188	494	0.4158249158249158
containment	two_hop_is_in	3	1188	1188	1.0
containment	two_hop_is_in	4	1188	625	0.5260942760942761
containment	two_hop_is_in	5	1188	621	0.5227272727272727
containment	two_hop_is_in	6	1188	899	0.7567340067340067
metaphor	containment_metaphors_action_into_movement	0	240	6	0.025
metaphor	containment_metaphors_action_into_movement	1	240	29	0.12083333333333333
metaphor	containment_metaphors_could_not_contain	0	12	10	0.8333333333333334
metaphor	containment_metaphors_energy_into	0	12	0	0.0
metaphor	containment_metaphors_energy_into	1	12	0	0.0
metaphor	containment_metaphors_entity_in_state	0	20	16	0.8
metaphor	containment_metaphors_filled_with_emotion	0	12	0	0.0
metaphor	containment_metaphors_got_out_of	0	12	0	0.0
metaphor	containment_metaphors_in_motion	0	9	1	0.1111111111111111
metaphor	containment_metaphors_material_in	0	9	0	0.0
metaphor	containment_metaphors_outside_of	0	36	12	0.3333333333333333
metaphor	distance_metaphors_close_to_goal	0	36	0	0.0
metaphor	distance_metaphors_close_to_goal	1	36	0	0.0
metaphor	distance_metaphors_close_to_goal	2	36	0	0.0
metaphor	distance_metaphors_far_from_achieving	0	36	0	0.0
metaphor	distance_metaphors_far_from_achieving	1	36	4	0.1111111111111111
metaphor	motion_metaphors_flying	0	4	4	1.0
metaphor	motion_metaphors_flying	1	4	0	0.0
metaphor	motion_metaphors_jumping	0	12	0	0.0
metaphor	motion_metaphors_jumping	1	12	0	0.0
metaphor	motion_metaphors_moving_toward_agreement	0	36	0	0.0
metaphor	motion_metaphors_skipping	0	16	0	0.0
metaphor	motion_metaphors_skipping	1	16	4	0.25
metaphor	orientation_metaphors_behind	0	12	12	1.0
metaphor	orientation_metaphors_down	0	4	4	1.0
metaphor	orientation_metaphors_down	1	4	4	1.0
metaphor	orientation_metaphors_looking_forward	0	12	8	0.6666666666666666
