reasoning_type	fn_name	test_id	num_tests	num_correct	test_acc
motion	motion_one_hop	0	24	24	1.0
motion	motion_one_hop	1	36	36	1.0
motion	motion_one_hop	2	36	13	0.3611111111111111
motion	motion_one_hop_jerund	0	72	72	1.0
motion	motion_one_hop_jerund	1	72	72	1.0
motion	motion_one_hop_jerund	2	72	0	0.0
motion	non_motion_one_hop	0	24	24	1.0
motion	non_motion_one_hop	1	36	33	0.9166666666666666
motion	non_motion_one_hop	2	36	35	0.9722222222222222
motion	non_motion_one_hop_jerund	0	48	34	0.7083333333333334
motion	non_motion_one_hop_jerund	1	48	28	0.5833333333333334
motion	non_motion_one_hop_jerund	2	48	32	0.6666666666666666
orientation	cardinals_neutral	0	96	2	0.020833333333333332
orientation	cardinals_one_hop	0	24	24	1.0
orientation	cardinals_one_hop	1	72	24	0.3333333333333333
orientation	above_below_one_hop	0	160	104	0.65
orientation	above_below_one_hop	1	640	171	0.2671875
orientation	left_right_one_hop	0	360	352	0.9777777777777777
orientation	left_right_one_hop	1	840	503	0.5988095238095238
distance	far_negative	0	60	60	1.0
distance	far_negative	1	60	60	1.0
distance	far_negative	2	40	40	1.0
distance	far_negative	3	40	40	1.0
distance	far_positive	0	20	2	0.1
distance	far_positive	1	60	60	1.0
distance	far_positive	2	60	60	1.0
distance	nearby_neutral	0	120	64	0.5333333333333333
distance	nearby_neutral	1	120	78	0.65
distance	not_touching_neutral	0	120	75	0.625
distance	not_touching_neutral	1	120	0	0.0
distance	not_touching_neutral	2	120	43	0.35833333333333334
distance	not_touching_neutral	3	120	0	0.0
distance	touching_negative	0	120	120	1.0
distance	touching_negative	1	120	120	1.0
distance	touching_negative	2	120	120	1.0
distance	touching_positive	0	120	30	0.25
distance	touching_positive	1	120	120	1.0
distance	touching_positive	2	120	120	1.0
distance	transitivity_negative	0	480	325	0.6770833333333334
containment	filled_with	0	18	18	1.0
containment	filled_with	1	18	0	0.0
containment	motion_out_of	0	54	44	0.8148148148148148
containment	motion_out_of	1	54	52	0.9629629629629629
containment	motion_out_of	2	36	18	0.5
containment	motion_out_of	3	36	13	0.3611111111111111
containment	movement_into_container	0	54	54	1.0
containment	movement_into_container	1	54	32	0.5925925925925926
containment	movement_into_container	2	36	36	1.0
containment	one_hop_neg	0	72	72	1.0
containment	one_hop_neg	1	72	72	1.0
containment	one_hop_pos	0	216	211	0.9768518518518519
containment	one_hop_pos	1	216	216	1.0
containment	one_hop_pos	2	216	215	0.9953703703703703
containment	two_hop_fits_in	0	528	63	0.11931818181818182
containment	two_hop_fits_in	1	792	0	0.0
containment	two_hop_fits_in	2	792	0	0.0
containment	two_hop_fits_in	3	792	75	0.0946969696969697
containment	two_hop_fits_in	4	528	0	0.0
containment	two_hop_fits_in	5	528	0	0.0
containment	two_hop_fits_in	6	528	0	0.0
containment	two_hop_is_in	0	1782	733	0.4113355780022447
containment	two_hop_is_in	1	1188	1188	1.0
containment	two_hop_is_in	2	1188	59	0.049663299663299666
containment	two_hop_is_in	3	1188	1147	0.9654882154882155
containment	two_hop_is_in	4	1188	650	0.5471380471380471
containment	two_hop_is_in	5	1188	1059	0.8914141414141414
containment	two_hop_is_in	6	1188	826	0.6952861952861953
metaphor	containment_metaphors_action_into_movement	0	240	11	0.04583333333333333
metaphor	containment_metaphors_action_into_movement	1	240	77	0.32083333333333336
metaphor	containment_metaphors_could_not_contain	0	12	11	0.9166666666666666
metaphor	containment_metaphors_energy_into	0	12	0	0.0
metaphor	containment_metaphors_energy_into	1	12	0	0.0
metaphor	containment_metaphors_entity_in_state	0	20	16	0.8
metaphor	containment_metaphors_filled_with_emotion	0	12	0	0.0
metaphor	containment_metaphors_got_out_of	0	12	0	0.0
metaphor	containment_metaphors_in_motion	0	9	0	0.0
metaphor	containment_metaphors_material_in	0	9	0	0.0
metaphor	containment_metaphors_outside_of	0	36	0	0.0
metaphor	distance_metaphors_close_to_goal	0	36	0	0.0
metaphor	distance_metaphors_close_to_goal	1	36	0	0.0
metaphor	distance_metaphors_close_to_goal	2	36	0	0.0
metaphor	distance_metaphors_far_from_achieving	0	36	0	0.0
metaphor	distance_metaphors_far_from_achieving	1	36	0	0.0
metaphor	motion_metaphors_flying	0	4	4	1.0
metaphor	motion_metaphors_flying	1	4	0	0.0
metaphor	motion_metaphors_jumping	0	12	0	0.0
metaphor	motion_metaphors_jumping	1	12	0	0.0
metaphor	motion_metaphors_moving_toward_agreement	0	36	0	0.0
metaphor	motion_metaphors_skipping	0	16	0	0.0
metaphor	motion_metaphors_skipping	1	16	1	0.0625
metaphor	orientation_metaphors_behind	0	12	12	1.0
metaphor	orientation_metaphors_down	0	4	4	1.0
metaphor	orientation_metaphors_down	1	4	4	1.0
metaphor	orientation_metaphors_looking_forward	0	12	0	0.0
