reasoning_type	fn_name	test_id	num_tests	num_correct	test_acc
motion	motion_one_hop	0	24	0	0.0
motion	motion_one_hop	1	36	36	1.0
motion	motion_one_hop	2	36	0	0.0
motion	motion_one_hop_jerund	0	72	0	0.0
motion	motion_one_hop_jerund	1	72	72	1.0
motion	motion_one_hop_jerund	2	72	0	0.0
motion	non_motion_one_hop	0	24	0	0.0
motion	non_motion_one_hop	1	36	36	1.0
motion	non_motion_one_hop	2	36	0	0.0
motion	non_motion_one_hop_jerund	0	48	0	0.0
motion	non_motion_one_hop_jerund	1	48	38	0.7916666666666666
motion	non_motion_one_hop_jerund	2	48	0	0.0
orientation	cardinals_neutral	0	96	0	0.0
orientation	cardinals_one_hop	0	24	0	0.0
orientation	cardinals_one_hop	1	72	24	0.3333333333333333
orientation	left_right_above_below_one_hop	0	520	2	0.0038461538461538464
orientation	left_right_above_below_one_hop	1	1480	455	0.30743243243243246
distance	far_negative	0	60	60	1.0
distance	far_negative	1	60	45	0.75
distance	far_negative	2	40	40	1.0
distance	far_negative	3	40	40	1.0
distance	far_positive	0	20	0	0.0
distance	far_positive	1	60	0	0.0
distance	far_positive	2	60	0	0.0
distance	nearby_neutral	0	120	74	0.6166666666666667
distance	nearby_neutral	1	120	58	0.48333333333333334
distance	not_touching_neutral	0	120	2	0.016666666666666666
distance	not_touching_neutral	1	120	120	1.0
distance	not_touching_neutral	2	120	68	0.5666666666666667
distance	not_touching_neutral	3	120	120	1.0
distance	touching_negative	0	120	120	1.0
distance	touching_negative	1	120	120	1.0
distance	touching_negative	2	120	120	1.0
distance	touching_positive	0	120	0	0.0
distance	touching_positive	1	120	0	0.0
distance	touching_positive	2	120	0	0.0
distance	transitivity_negative	0	480	426	0.8875
containment	filled_with	0	18	0	0.0
containment	filled_with	1	18	0	0.0
containment	motion_out_of	0	54	0	0.0
containment	motion_out_of	1	54	46	0.8518518518518519
containment	motion_out_of	2	36	8	0.2222222222222222
containment	motion_out_of	3	36	10	0.2777777777777778
containment	movement_into_container	0	54	0	0.0
containment	movement_into_container	1	54	37	0.6851851851851852
containment	movement_into_container	2	36	35	0.9722222222222222
containment	one_hop_neg	0	72	72	1.0
containment	one_hop_neg	1	72	0	0.0
containment	one_hop_pos	0	216	9	0.041666666666666664
containment	one_hop_pos	1	216	0	0.0
containment	one_hop_pos	2	216	0	0.0
containment	two_hop_fits_in	0	71	0	0.0
containment	two_hop_fits_in	1	105	105	1.0
containment	two_hop_fits_in	2	105	0	0.0
containment	two_hop_fits_in	3	105	71	0.6761904761904762
containment	two_hop_fits_in	4	70	70	1.0
containment	two_hop_fits_in	5	70	0	0.0
containment	two_hop_fits_in	6	70	51	0.7285714285714285
