reasoning_type	fn_name	test_id	num_tests	num_correct	test_acc
motion	motion_one_hop	0	24	24	1.0
motion	motion_one_hop	1	36	36	1.0
motion	motion_one_hop	2	36	20	0.5555555555555556
motion	motion_one_hop_jerund	0	72	72	1.0
motion	motion_one_hop_jerund	1	72	72	1.0
motion	motion_one_hop_jerund	2	72	8	0.1111111111111111
motion	non_motion_one_hop	0	24	24	1.0
motion	non_motion_one_hop	1	36	28	0.7777777777777778
motion	non_motion_one_hop	2	36	25	0.6944444444444444
motion	non_motion_one_hop_jerund	0	48	34	0.7083333333333334
motion	non_motion_one_hop_jerund	1	48	33	0.6875
motion	non_motion_one_hop_jerund	2	48	32	0.6666666666666666
orientation	cardinals_neutral	0	96	0	0.0
orientation	cardinals_one_hop	0	24	24	1.0
orientation	cardinals_one_hop	1	72	24	0.3333333333333333
orientation	above_below_one_hop	0	160	133	0.83125
orientation	above_below_one_hop	1	640	238	0.371875
orientation	left_right_one_hop	0	360	321	0.8916666666666667
orientation	left_right_one_hop	1	840	288	0.34285714285714286
distance	far_negative	0	60	60	1.0
distance	far_negative	1	60	60	1.0
distance	far_negative	2	40	40	1.0
distance	far_negative	3	40	40	1.0
distance	far_positive	0	20	10	0.5
distance	far_positive	1	60	60	1.0
distance	far_positive	2	60	60	1.0
distance	nearby_neutral	0	120	2	0.016666666666666666
distance	nearby_neutral	1	120	0	0.0
distance	not_touching_neutral	0	120	4	0.03333333333333333
distance	not_touching_neutral	1	120	0	0.0
distance	not_touching_neutral	2	120	0	0.0
distance	not_touching_neutral	3	120	0	0.0
distance	touching_negative	0	120	120	1.0
distance	touching_negative	1	120	120	1.0
distance	touching_negative	2	120	120	1.0
distance	touching_positive	0	120	69	0.575
distance	touching_positive	1	120	120	1.0
distance	touching_positive	2	120	120	1.0
distance	transitivity_negative	0	480	310	0.6458333333333334
containment	filled_with	0	18	18	1.0
containment	filled_with	1	18	0	0.0
containment	motion_out_of	0	54	36	0.6666666666666666
containment	motion_out_of	1	54	33	0.6111111111111112
containment	motion_out_of	2	36	0	0.0
containment	motion_out_of	3	36	12	0.3333333333333333
containment	movement_into_container	0	54	54	1.0
containment	movement_into_container	1	54	0	0.0
containment	movement_into_container	2	36	33	0.9166666666666666
containment	one_hop_neg	0	72	72	1.0
containment	one_hop_neg	1	72	72	1.0
containment	one_hop_pos	0	216	216	1.0
containment	one_hop_pos	1	216	216	1.0
containment	one_hop_pos	2	216	215	0.9953703703703703
containment	two_hop_fits_in	0	528	490	0.928030303030303
containment	two_hop_fits_in	1	792	0	0.0
containment	two_hop_fits_in	2	792	0	0.0
containment	two_hop_fits_in	3	792	0	0.0
containment	two_hop_fits_in	4	528	0	0.0
containment	two_hop_fits_in	5	528	0	0.0
containment	two_hop_fits_in	6	528	0	0.0
containment	two_hop_is_in	0	1782	945	0.5303030303030303
containment	two_hop_is_in	1	1188	1188	1.0
containment	two_hop_is_in	2	1188	939	0.7904040404040404
containment	two_hop_is_in	3	1188	1188	1.0
containment	two_hop_is_in	4	1188	1127	0.9486531986531986
containment	two_hop_is_in	5	1188	143	0.12037037037037036
containment	two_hop_is_in	6	1188	117	0.09848484848484848
metaphor	containment_metaphors_action_into_movement	0	240	8	0.03333333333333333
metaphor	containment_metaphors_action_into_movement	1	240	40	0.16666666666666666
metaphor	containment_metaphors_could_not_contain	0	12	0	0.0
metaphor	containment_metaphors_energy_into	0	12	0	0.0
metaphor	containment_metaphors_energy_into	1	12	4	0.3333333333333333
metaphor	containment_metaphors_entity_in_state	0	20	9	0.45
metaphor	containment_metaphors_filled_with_emotion	0	12	0	0.0
metaphor	containment_metaphors_got_out_of	0	12	6	0.5
metaphor	containment_metaphors_in_motion	0	9	0	0.0
metaphor	containment_metaphors_material_in	0	9	0	0.0
metaphor	containment_metaphors_outside_of	0	36	4	0.1111111111111111
metaphor	distance_metaphors_close_to_goal	0	36	0	0.0
metaphor	distance_metaphors_close_to_goal	1	36	0	0.0
metaphor	distance_metaphors_close_to_goal	2	36	0	0.0
metaphor	distance_metaphors_far_from_achieving	0	36	12	0.3333333333333333
metaphor	distance_metaphors_far_from_achieving	1	36	12	0.3333333333333333
metaphor	motion_metaphors_flying	0	4	4	1.0
metaphor	motion_metaphors_flying	1	4	0	0.0
metaphor	motion_metaphors_jumping	0	12	0	0.0
metaphor	motion_metaphors_jumping	1	12	0	0.0
metaphor	motion_metaphors_moving_toward_agreement	0	36	0	0.0
metaphor	motion_metaphors_skipping	0	16	8	0.5
metaphor	motion_metaphors_skipping	1	16	4	0.25
metaphor	orientation_metaphors_behind	0	12	12	1.0
metaphor	orientation_metaphors_down	0	4	4	1.0
metaphor	orientation_metaphors_down	1	4	4	1.0
metaphor	orientation_metaphors_looking_forward	0	12	0	0.0
