reasoning_type	fn_name	test_id	num_tests	num_correct	test_acc
motion	motion_one_hop	0	24	24	1.0
motion	motion_one_hop	1	36	28	0.7777777777777778
motion	motion_one_hop	2	36	16	0.4444444444444444
motion	motion_one_hop_jerund	0	72	72	1.0
motion	motion_one_hop_jerund	1	72	72	1.0
motion	motion_one_hop_jerund	2	72	0	0.0
motion	non_motion_one_hop	0	24	24	1.0
motion	non_motion_one_hop	1	36	28	0.7777777777777778
motion	non_motion_one_hop	2	36	14	0.3888888888888889
motion	non_motion_one_hop_jerund	0	48	27	0.5625
motion	non_motion_one_hop_jerund	1	48	30	0.625
motion	non_motion_one_hop_jerund	2	48	0	0.0
orientation	cardinals_neutral	0	96	0	0.0
orientation	cardinals_one_hop	0	24	9	0.375
orientation	cardinals_one_hop	1	72	37	0.5138888888888888
orientation	left_right_above_below_one_hop	0	160	9	0.05625
orientation	left_right_above_below_one_hop	1	640	336	0.525
orientation	left_right_one_hop	0	360	95	0.2638888888888889
orientation	left_right_one_hop	1	840	632	0.7523809523809524
distance	far_negative	0	60	60	1.0
distance	far_negative	1	60	22	0.36666666666666664
distance	far_negative	2	40	40	1.0
distance	far_negative	3	40	32	0.8
distance	far_positive	0	20	0	0.0
distance	far_positive	1	60	35	0.5833333333333334
distance	far_positive	2	60	56	0.9333333333333333
distance	nearby_neutral	0	120	0	0.0
distance	nearby_neutral	1	120	0	0.0
distance	not_touching_neutral	0	120	0	0.0
distance	not_touching_neutral	1	120	0	0.0
distance	not_touching_neutral	2	120	0	0.0
distance	not_touching_neutral	3	120	0	0.0
distance	touching_negative	0	120	120	1.0
distance	touching_negative	1	120	120	1.0
distance	touching_negative	2	120	120	1.0
distance	touching_positive	0	120	0	0.0
distance	touching_positive	1	120	120	1.0
distance	touching_positive	2	120	98	0.8166666666666667
distance	transitivity_negative	0	480	475	0.9895833333333334
containment	filled_with	0	18	13	0.7222222222222222
containment	filled_with	1	18	0	0.0
containment	motion_out_of	0	54	0	0.0
containment	motion_out_of	1	54	40	0.7407407407407407
containment	motion_out_of	2	36	20	0.5555555555555556
containment	motion_out_of	3	36	2	0.05555555555555555
containment	movement_into_container	0	54	53	0.9814814814814815
containment	movement_into_container	1	54	4	0.07407407407407407
containment	movement_into_container	2	36	36	1.0
containment	one_hop_neg	0	72	72	1.0
containment	one_hop_neg	1	72	65	0.9027777777777778
containment	one_hop_pos	0	216	200	0.9259259259259259
containment	one_hop_pos	1	216	216	1.0
containment	one_hop_pos	2	216	199	0.9212962962962963
containment	two_hop_fits_in	0	528	200	0.3787878787878788
containment	two_hop_fits_in	1	792	0	0.0
containment	two_hop_fits_in	2	792	0	0.0
containment	two_hop_fits_in	3	792	0	0.0
containment	two_hop_fits_in	4	528	0	0.0
containment	two_hop_fits_in	5	528	0	0.0
containment	two_hop_fits_in	6	528	0	0.0
containment	two_hop_is_in	0	1782	489	0.27441077441077444
containment	two_hop_is_in	1	1188	1128	0.9494949494949495
containment	two_hop_is_in	2	1188	443	0.3728956228956229
containment	two_hop_is_in	3	1188	1010	0.8501683501683501
containment	two_hop_is_in	4	1188	780	0.6565656565656566
containment	two_hop_is_in	5	1188	268	0.2255892255892256
containment	two_hop_is_in	6	1188	61	0.05134680134680135
metaphor	containment_metaphors_action_into_movement	0	240	30	0.125
metaphor	containment_metaphors_action_into_movement	1	240	27	0.1125
metaphor	containment_metaphors_could_not_contain	0	12	10	0.8333333333333334
metaphor	containment_metaphors_energy_into	0	12	0	0.0
metaphor	containment_metaphors_energy_into	1	12	0	0.0
metaphor	containment_metaphors_entity_in_state	0	20	12	0.6
metaphor	containment_metaphors_filled_with_emotion	0	12	0	0.0
metaphor	containment_metaphors_got_out_of	0	12	12	1.0
metaphor	containment_metaphors_in_motion	0	9	0	0.0
metaphor	containment_metaphors_material_in	0	9	0	0.0
metaphor	containment_metaphors_outside_of	0	36	8	0.2222222222222222
metaphor	distance_metaphors_close_to_goal	0	36	0	0.0
metaphor	distance_metaphors_close_to_goal	1	36	0	0.0
metaphor	distance_metaphors_close_to_goal	2	36	0	0.0
metaphor	distance_metaphors_far_from_achieving	0	36	0	0.0
metaphor	distance_metaphors_far_from_achieving	1	36	0	0.0
metaphor	motion_metaphors_flying	0	4	4	1.0
metaphor	motion_metaphors_flying	1	4	0	0.0
metaphor	motion_metaphors_jumping	0	12	4	0.3333333333333333
metaphor	motion_metaphors_jumping	1	12	0	0.0
metaphor	motion_metaphors_moving_toward_agreement	0	36	0	0.0
metaphor	motion_metaphors_skipping	0	16	16	1.0
metaphor	motion_metaphors_skipping	1	16	6	0.375
metaphor	orientation_metaphors_behind	0	12	12	1.0
metaphor	orientation_metaphors_down	0	4	4	1.0
metaphor	orientation_metaphors_down	1	4	4	1.0
metaphor	orientation_metaphors_looking_forward	0	12	12	1.0
