reasoning_type	fn_name	test_id	num_tests	num_correct	test_acc
motion	motion_one_hop	0	24	24	1.0
motion	motion_one_hop	1	36	28	0.7777777777777778
motion	motion_one_hop	2	36	16	0.4444444444444444
motion	motion_one_hop_jerund	0	72	72	1.0
motion	motion_one_hop_jerund	1	72	72	1.0
motion	motion_one_hop_jerund	2	72	2	0.027777777777777776
motion	non_motion_one_hop	0	24	24	1.0
motion	non_motion_one_hop	1	36	28	0.7777777777777778
motion	non_motion_one_hop	2	36	25	0.6944444444444444
motion	non_motion_one_hop_jerund	0	48	38	0.7916666666666666
motion	non_motion_one_hop_jerund	1	48	40	0.8333333333333334
motion	non_motion_one_hop_jerund	2	48	22	0.4583333333333333
orientation	cardinals_neutral	0	96	0	0.0
orientation	cardinals_one_hop	0	24	3	0.125
orientation	cardinals_one_hop	1	72	35	0.4861111111111111
orientation	left_right_above_below_one_hop	0	520	148	0.2846153846153846
orientation	left_right_above_below_one_hop	1	1480	744	0.5027027027027027
distance	far_negative	0	60	60	1.0
distance	far_negative	1	60	58	0.9666666666666667
distance	far_negative	2	40	40	1.0
distance	far_negative	3	40	40	1.0
distance	far_positive	0	20	5	0.25
distance	far_positive	1	60	60	1.0
distance	far_positive	2	60	60	1.0
distance	nearby_neutral	0	120	10	0.08333333333333333
distance	nearby_neutral	1	120	11	0.09166666666666666
distance	not_touching_neutral	0	120	0	0.0
distance	not_touching_neutral	1	120	0	0.0
distance	not_touching_neutral	2	120	0	0.0
distance	not_touching_neutral	3	120	0	0.0
distance	touching_negative	0	120	120	1.0
distance	touching_negative	1	120	120	1.0
distance	touching_negative	2	120	120	1.0
distance	touching_positive	0	120	27	0.225
distance	touching_positive	1	120	120	1.0
distance	touching_positive	2	120	119	0.9916666666666667
distance	transitivity_negative	0	480	457	0.9520833333333333
containment	filled_with	0	18	18	1.0
containment	filled_with	1	18	0	0.0
containment	motion_out_of	0	54	12	0.2222222222222222
containment	motion_out_of	1	54	42	0.7777777777777778
containment	motion_out_of	2	36	0	0.0
containment	motion_out_of	3	36	31	0.8611111111111112
containment	movement_into_container	0	54	54	1.0
containment	movement_into_container	1	54	2	0.037037037037037035
containment	movement_into_container	2	36	36	1.0
containment	one_hop_neg	0	72	72	1.0
containment	one_hop_neg	1	72	72	1.0
containment	one_hop_pos	0	216	105	0.4861111111111111
containment	one_hop_pos	1	216	216	1.0
containment	one_hop_pos	2	216	170	0.7870370370370371
containment	two_hop_fits_in	0	528	36	0.06818181818181818
containment	two_hop_fits_in	1	792	0	0.0
containment	two_hop_fits_in	2	792	0	0.0
containment	two_hop_fits_in	3	792	2	0.0025252525252525255
containment	two_hop_fits_in	4	528	0	0.0
containment	two_hop_fits_in	5	528	0	0.0
containment	two_hop_fits_in	6	528	0	0.0
containment	two_hop_is_in	0	1782	306	0.1717171717171717
containment	two_hop_is_in	1	1188	1185	0.9974747474747475
containment	two_hop_is_in	2	1188	372	0.31313131313131315
containment	two_hop_is_in	3	1188	1188	1.0
containment	two_hop_is_in	4	1188	104	0.08754208754208755
containment	two_hop_is_in	5	1188	480	0.40404040404040403
containment	two_hop_is_in	6	1188	221	0.18602693602693604
metaphor	containment_metaphors_action_into_movement	0	240	27	0.1125
metaphor	containment_metaphors_action_into_movement	1	240	48	0.2
metaphor	containment_metaphors_could_not_contain	0	12	7	0.5833333333333334
metaphor	containment_metaphors_energy_into	0	12	0	0.0
metaphor	containment_metaphors_energy_into	1	12	6	0.5
metaphor	containment_metaphors_entity_in_state	0	20	16	0.8
metaphor	containment_metaphors_filled_with_emotion	0	12	0	0.0
metaphor	containment_metaphors_got_out_of	0	12	12	1.0
metaphor	containment_metaphors_in_motion	0	9	0	0.0
metaphor	containment_metaphors_material_in	0	9	0	0.0
metaphor	containment_metaphors_outside_of	0	36	18	0.5
metaphor	distance_metaphors_close_to_goal	0	36	0	0.0
metaphor	distance_metaphors_close_to_goal	1	36	0	0.0
metaphor	distance_metaphors_close_to_goal	2	36	0	0.0
metaphor	distance_metaphors_far_from_achieving	0	36	0	0.0
metaphor	distance_metaphors_far_from_achieving	1	36	0	0.0
metaphor	motion_metaphors_flying	0	4	4	1.0
metaphor	motion_metaphors_flying	1	4	0	0.0
metaphor	motion_metaphors_jumping	0	12	0	0.0
metaphor	motion_metaphors_jumping	1	12	0	0.0
metaphor	motion_metaphors_moving_toward_agreement	0	36	0	0.0
metaphor	motion_metaphors_skipping	0	16	0	0.0
metaphor	motion_metaphors_skipping	1	16	0	0.0
metaphor	orientation_metaphors_behind	0	12	12	1.0
metaphor	orientation_metaphors_down	0	4	4	1.0
metaphor	orientation_metaphors_down	1	4	4	1.0
metaphor	orientation_metaphors_looking_forward	0	12	10	0.8333333333333334
