reasoning_type	fn_name	test_id	num_tests	num_correct	test_acc
motion	motion_one_hop	0	24	0	0.0
motion	motion_one_hop	1	36	28	0.7777777777777778
motion	motion_one_hop	2	36	8	0.2222222222222222
motion	motion_one_hop_jerund	0	72	0	0.0
motion	motion_one_hop_jerund	1	72	72	1.0
motion	motion_one_hop_jerund	2	72	3	0.041666666666666664
motion	non_motion_one_hop	0	24	0	0.0
motion	non_motion_one_hop	1	36	28	0.7777777777777778
motion	non_motion_one_hop	2	36	0	0.0
motion	non_motion_one_hop_jerund	0	48	0	0.0
motion	non_motion_one_hop_jerund	1	48	29	0.6041666666666666
motion	non_motion_one_hop_jerund	2	48	0	0.0
orientation	cardinals_neutral	0	96	0	0.0
orientation	cardinals_one_hop	0	24	0	0.0
orientation	cardinals_one_hop	1	72	32	0.4444444444444444
orientation	left_right_above_below_one_hop	0	520	0	0.0
orientation	left_right_above_below_one_hop	1	1480	571	0.3858108108108108
distance	far_negative	0	60	60	1.0
distance	far_negative	1	60	60	1.0
distance	far_negative	2	40	40	1.0
distance	far_negative	3	40	40	1.0
distance	far_positive	0	20	0	0.0
distance	far_positive	1	60	0	0.0
distance	far_positive	2	60	0	0.0
distance	nearby_neutral	0	120	120	1.0
distance	nearby_neutral	1	120	119	0.9916666666666667
distance	not_touching_neutral	0	120	0	0.0
distance	not_touching_neutral	1	120	120	1.0
distance	not_touching_neutral	2	120	0	0.0
distance	not_touching_neutral	3	120	120	1.0
distance	touching_negative	0	120	120	1.0
distance	touching_negative	1	120	120	1.0
distance	touching_negative	2	120	120	1.0
distance	touching_positive	0	120	0	0.0
distance	touching_positive	1	120	0	0.0
distance	touching_positive	2	120	0	0.0
distance	transitivity_negative	0	480	60	0.125
containment	filled_with	0	18	3	0.16666666666666666
containment	filled_with	1	18	2	0.1111111111111111
containment	motion_out_of	0	54	0	0.0
containment	motion_out_of	1	54	32	0.5925925925925926
containment	motion_out_of	2	36	31	0.8611111111111112
containment	motion_out_of	3	36	5	0.1388888888888889
containment	movement_into_container	0	54	0	0.0
containment	movement_into_container	1	54	0	0.0
containment	movement_into_container	2	36	28	0.7777777777777778
containment	one_hop_neg	0	72	72	1.0
containment	one_hop_neg	1	72	0	0.0
containment	one_hop_pos	0	216	23	0.10648148148148148
containment	one_hop_pos	1	216	0	0.0
containment	one_hop_pos	2	216	90	0.4166666666666667
containment	two_hop_fits_in	0	528	0	0.0
containment	two_hop_fits_in	1	792	792	1.0
containment	two_hop_fits_in	2	792	692	0.8737373737373737
containment	two_hop_fits_in	3	792	735	0.928030303030303
containment	two_hop_fits_in	4	528	528	1.0
containment	two_hop_fits_in	5	528	528	1.0
containment	two_hop_fits_in	6	528	528	1.0
containment	two_hop_is_in	0	1782	0	0.0
containment	two_hop_is_in	1	1188	0	0.0
containment	two_hop_is_in	2	1188	0	0.0
containment	two_hop_is_in	3	1188	0	0.0
containment	two_hop_is_in	4	1188	433	0.36447811447811446
containment	two_hop_is_in	5	1188	2	0.0016835016835016834
containment	two_hop_is_in	6	1188	41	0.034511784511784514
metaphor	containment_metaphors_action_into_movement	0	240	36	0.15
metaphor	containment_metaphors_action_into_movement	1	240	30	0.125
metaphor	containment_metaphors_could_not_contain	0	12	0	0.0
metaphor	containment_metaphors_energy_into	0	12	4	0.3333333333333333
metaphor	containment_metaphors_energy_into	1	12	12	1.0
metaphor	containment_metaphors_entity_in_state	0	20	4	0.2
metaphor	containment_metaphors_filled_with_emotion	0	12	12	1.0
metaphor	containment_metaphors_got_out_of	0	12	12	1.0
metaphor	containment_metaphors_in_motion	0	9	9	1.0
metaphor	containment_metaphors_material_in	0	9	9	1.0
metaphor	containment_metaphors_outside_of	0	36	36	1.0
metaphor	distance_metaphors_close_to_goal	0	36	36	1.0
metaphor	distance_metaphors_close_to_goal	1	36	36	1.0
metaphor	distance_metaphors_close_to_goal	2	36	36	1.0
metaphor	distance_metaphors_far_from_achieving	0	36	36	1.0
metaphor	distance_metaphors_far_from_achieving	1	36	36	1.0
metaphor	motion_metaphors_flying	0	4	0	0.0
metaphor	motion_metaphors_flying	1	4	4	1.0
metaphor	motion_metaphors_jumping	0	12	0	0.0
metaphor	motion_metaphors_jumping	1	12	0	0.0
metaphor	motion_metaphors_moving_toward_agreement	0	36	36	1.0
metaphor	motion_metaphors_skipping	0	16	6	0.375
metaphor	motion_metaphors_skipping	1	16	0	0.0
metaphor	orientation_metaphors_behind	0	12	12	1.0
metaphor	orientation_metaphors_down	0	4	0	0.0
metaphor	orientation_metaphors_down	1	4	4	1.0
metaphor	orientation_metaphors_looking_forward	0	12	12	1.0
