reasoning_type	fn_name	test_id	num_tests	num_correct	test_acc
motion	motion_one_hop	0	24	24	1.0
motion	motion_one_hop	1	36	28	0.7777777777777778
motion	motion_one_hop	2	36	12	0.3333333333333333
motion	motion_one_hop_jerund	0	72	72	1.0
motion	motion_one_hop_jerund	1	72	72	1.0
motion	motion_one_hop_jerund	2	72	15	0.20833333333333334
motion	non_motion_one_hop	0	24	20	0.8333333333333334
motion	non_motion_one_hop	1	36	28	0.7777777777777778
motion	non_motion_one_hop	2	36	32	0.8888888888888888
motion	non_motion_one_hop_jerund	0	48	40	0.8333333333333334
motion	non_motion_one_hop_jerund	1	48	24	0.5
motion	non_motion_one_hop_jerund	2	48	32	0.6666666666666666
orientation	cardinals_neutral	0	96	0	0.0
orientation	cardinals_one_hop	0	24	0	0.0
orientation	cardinals_one_hop	1	72	72	1.0
orientation	above_below_one_hop	0	160	0	0.0
orientation	above_below_one_hop	1	640	426	0.665625
orientation	left_right_one_hop	0	360	0	0.0
orientation	left_right_one_hop	1	840	552	0.6571428571428571
distance	far_negative	0	60	60	1.0
distance	far_negative	1	60	60	1.0
distance	far_negative	2	40	40	1.0
distance	far_negative	3	40	40	1.0
distance	far_positive	0	20	6	0.3
distance	far_positive	1	60	60	1.0
distance	far_positive	2	60	60	1.0
distance	nearby_neutral	0	120	0	0.0
distance	nearby_neutral	1	120	0	0.0
distance	not_touching_neutral	0	120	0	0.0
distance	not_touching_neutral	1	120	0	0.0
distance	not_touching_neutral	2	120	0	0.0
distance	not_touching_neutral	3	120	0	0.0
distance	touching_negative	0	120	120	1.0
distance	touching_negative	1	120	120	1.0
distance	touching_negative	2	120	120	1.0
distance	touching_positive	0	120	108	0.9
distance	touching_positive	1	120	120	1.0
distance	touching_positive	2	120	120	1.0
distance	transitivity_negative	0	480	1	0.0020833333333333333
containment	filled_with	0	18	9	0.5
containment	filled_with	1	18	0	0.0
containment	motion_out_of	0	54	21	0.3888888888888889
containment	motion_out_of	1	54	22	0.4074074074074074
containment	motion_out_of	2	36	12	0.3333333333333333
containment	motion_out_of	3	36	20	0.5555555555555556
containment	movement_into_container	0	54	48	0.8888888888888888
containment	movement_into_container	1	54	4	0.07407407407407407
containment	movement_into_container	2	36	32	0.8888888888888888
containment	one_hop_neg	0	72	72	1.0
containment	one_hop_neg	1	72	72	1.0
containment	one_hop_pos	0	216	184	0.8518518518518519
containment	one_hop_pos	1	216	216	1.0
containment	one_hop_pos	2	216	216	1.0
containment	two_hop_fits_in	0	528	528	1.0
containment	two_hop_fits_in	1	792	17	0.021464646464646464
containment	two_hop_fits_in	2	792	0	0.0
containment	two_hop_fits_in	3	792	31	0.039141414141414144
containment	two_hop_fits_in	4	528	28	0.05303030303030303
containment	two_hop_fits_in	5	528	0	0.0
containment	two_hop_fits_in	6	528	0	0.0
containment	two_hop_is_in	0	1782	1746	0.9797979797979798
containment	two_hop_is_in	1	1188	1188	1.0
containment	two_hop_is_in	2	1188	1188	1.0
containment	two_hop_is_in	3	1188	1188	1.0
containment	two_hop_is_in	4	1188	1160	0.9764309764309764
containment	two_hop_is_in	5	1188	0	0.0
containment	two_hop_is_in	6	1188	0	0.0
metaphor	containment_metaphors_action_into_movement	0	240	38	0.15833333333333333
metaphor	containment_metaphors_action_into_movement	1	240	38	0.15833333333333333
metaphor	containment_metaphors_could_not_contain	0	12	8	0.6666666666666666
metaphor	containment_metaphors_energy_into	0	12	0	0.0
metaphor	containment_metaphors_energy_into	1	12	1	0.08333333333333333
metaphor	containment_metaphors_entity_in_state	0	20	20	1.0
metaphor	containment_metaphors_filled_with_emotion	0	12	0	0.0
metaphor	containment_metaphors_got_out_of	0	12	12	1.0
metaphor	containment_metaphors_in_motion	0	9	0	0.0
metaphor	containment_metaphors_material_in	0	9	0	0.0
metaphor	containment_metaphors_outside_of	0	36	0	0.0
metaphor	distance_metaphors_close_to_goal	0	36	0	0.0
metaphor	distance_metaphors_close_to_goal	1	36	0	0.0
metaphor	distance_metaphors_close_to_goal	2	36	0	0.0
metaphor	distance_metaphors_far_from_achieving	0	36	0	0.0
metaphor	distance_metaphors_far_from_achieving	1	36	0	0.0
metaphor	motion_metaphors_flying	0	4	4	1.0
metaphor	motion_metaphors_flying	1	4	0	0.0
metaphor	motion_metaphors_jumping	0	12	0	0.0
metaphor	motion_metaphors_jumping	1	12	0	0.0
metaphor	motion_metaphors_moving_toward_agreement	0	36	0	0.0
metaphor	motion_metaphors_skipping	0	16	16	1.0
metaphor	motion_metaphors_skipping	1	16	0	0.0
metaphor	orientation_metaphors_behind	0	12	12	1.0
metaphor	orientation_metaphors_down	0	4	4	1.0
metaphor	orientation_metaphors_down	1	4	4	1.0
metaphor	orientation_metaphors_looking_forward	0	12	12	1.0
