reasoning_type	fn_name	test_id	num_tests	num_correct	test_acc
motion	motion_one_hop	0	24	24	1.0
motion	motion_one_hop	1	36	36	1.0
motion	motion_one_hop	2	36	33	0.9166666666666666
motion	motion_one_hop_jerund	0	72	72	1.0
motion	motion_one_hop_jerund	1	72	72	1.0
motion	motion_one_hop_jerund	2	72	40	0.5555555555555556
motion	non_motion_one_hop	0	24	24	1.0
motion	non_motion_one_hop	1	36	28	0.7777777777777778
motion	non_motion_one_hop	2	36	36	1.0
motion	non_motion_one_hop_jerund	0	48	48	1.0
motion	non_motion_one_hop_jerund	1	48	48	1.0
motion	non_motion_one_hop_jerund	2	48	36	0.75
orientation	cardinals_neutral	0	96	39	0.40625
orientation	cardinals_one_hop	0	24	22	0.9166666666666666
orientation	cardinals_one_hop	1	72	29	0.4027777777777778
orientation	left_right_above_below_one_hop	0	160	115	0.71875
orientation	left_right_above_below_one_hop	1	640	205	0.3203125
orientation	left_right_one_hop	0	360	88	0.24444444444444444
orientation	left_right_one_hop	1	840	614	0.7309523809523809
distance	far_negative	0	60	37	0.6166666666666667
distance	far_negative	1	60	36	0.6
distance	far_negative	2	40	40	1.0
distance	far_negative	3	40	40	1.0
distance	far_positive	0	20	17	0.85
distance	far_positive	1	60	60	1.0
distance	far_positive	2	60	60	1.0
distance	nearby_neutral	0	120	18	0.15
distance	nearby_neutral	1	120	25	0.20833333333333334
distance	not_touching_neutral	0	120	0	0.0
distance	not_touching_neutral	1	120	0	0.0
distance	not_touching_neutral	2	120	2	0.016666666666666666
distance	not_touching_neutral	3	120	0	0.0
distance	touching_negative	0	120	120	1.0
distance	touching_negative	1	120	120	1.0
distance	touching_negative	2	120	120	1.0
distance	touching_positive	0	120	75	0.625
distance	touching_positive	1	120	120	1.0
distance	touching_positive	2	120	120	1.0
distance	transitivity_negative	0	480	143	0.29791666666666666
containment	filled_with	0	18	18	1.0
containment	filled_with	1	18	0	0.0
containment	motion_out_of	0	54	54	1.0
containment	motion_out_of	1	54	47	0.8703703703703703
containment	motion_out_of	2	36	0	0.0
containment	motion_out_of	3	36	14	0.3888888888888889
containment	movement_into_container	0	54	54	1.0
containment	movement_into_container	1	54	26	0.48148148148148145
containment	movement_into_container	2	36	36	1.0
containment	one_hop_neg	0	72	72	1.0
containment	one_hop_neg	1	72	72	1.0
containment	one_hop_pos	0	216	216	1.0
containment	one_hop_pos	1	216	216	1.0
containment	one_hop_pos	2	216	213	0.9861111111111112
containment	two_hop_fits_in	0	528	528	1.0
containment	two_hop_fits_in	1	792	0	0.0
containment	two_hop_fits_in	2	792	193	0.24368686868686867
containment	two_hop_fits_in	3	792	0	0.0
containment	two_hop_fits_in	4	528	0	0.0
containment	two_hop_fits_in	5	528	62	0.11742424242424243
containment	two_hop_fits_in	6	528	4	0.007575757575757576
containment	two_hop_is_in	0	1782	1692	0.9494949494949495
containment	two_hop_is_in	1	1188	1188	1.0
containment	two_hop_is_in	2	1188	938	0.7895622895622896
containment	two_hop_is_in	3	1188	1176	0.98989898989899
containment	two_hop_is_in	4	1188	1159	0.9755892255892256
containment	two_hop_is_in	5	1188	1063	0.8947811447811448
containment	two_hop_is_in	6	1188	1057	0.8897306397306397
metaphor	containment_metaphors_action_into_movement	0	240	0	0.0
metaphor	containment_metaphors_action_into_movement	1	240	20	0.08333333333333333
metaphor	containment_metaphors_could_not_contain	0	12	0	0.0
metaphor	containment_metaphors_energy_into	0	12	4	0.3333333333333333
metaphor	containment_metaphors_energy_into	1	12	0	0.0
metaphor	containment_metaphors_entity_in_state	0	20	0	0.0
metaphor	containment_metaphors_filled_with_emotion	0	12	0	0.0
metaphor	containment_metaphors_got_out_of	0	12	4	0.3333333333333333
metaphor	containment_metaphors_in_motion	0	9	0	0.0
metaphor	containment_metaphors_material_in	0	9	0	0.0
metaphor	containment_metaphors_outside_of	0	36	0	0.0
metaphor	distance_metaphors_close_to_goal	0	36	0	0.0
metaphor	distance_metaphors_close_to_goal	1	36	0	0.0
metaphor	distance_metaphors_close_to_goal	2	36	0	0.0
metaphor	distance_metaphors_far_from_achieving	0	36	0	0.0
metaphor	distance_metaphors_far_from_achieving	1	36	0	0.0
metaphor	motion_metaphors_flying	0	4	4	1.0
metaphor	motion_metaphors_flying	1	4	0	0.0
metaphor	motion_metaphors_jumping	0	12	0	0.0
metaphor	motion_metaphors_jumping	1	12	0	0.0
metaphor	motion_metaphors_moving_toward_agreement	0	36	0	0.0
metaphor	motion_metaphors_skipping	0	16	0	0.0
metaphor	motion_metaphors_skipping	1	16	0	0.0
metaphor	orientation_metaphors_behind	0	12	12	1.0
metaphor	orientation_metaphors_down	0	4	4	1.0
metaphor	orientation_metaphors_down	1	4	4	1.0
metaphor	orientation_metaphors_looking_forward	0	12	12	1.0
