reasoning_type	fn_name	test_id	num_tests	num_correct	test_acc
motion	motion_one_hop	0	24	24	1.0
motion	motion_one_hop	1	36	28	0.7777777777777778
motion	motion_one_hop	2	36	12	0.3333333333333333
motion	motion_one_hop_jerund	0	72	72	1.0
motion	motion_one_hop_jerund	1	72	72	1.0
motion	motion_one_hop_jerund	2	72	8	0.1111111111111111
motion	non_motion_one_hop	0	24	24	1.0
motion	non_motion_one_hop	1	36	28	0.7777777777777778
motion	non_motion_one_hop	2	36	36	1.0
motion	non_motion_one_hop_jerund	0	48	44	0.9166666666666666
motion	non_motion_one_hop_jerund	1	48	26	0.5416666666666666
motion	non_motion_one_hop_jerund	2	48	34	0.7083333333333334
orientation	cardinals_neutral	0	96	0	0.0
orientation	cardinals_one_hop	0	24	24	1.0
orientation	cardinals_one_hop	1	72	20	0.2777777777777778
orientation	above_below_one_hop	0	160	95	0.59375
orientation	above_below_one_hop	1	640	175	0.2734375
orientation	left_right_one_hop	0	360	179	0.49722222222222223
orientation	left_right_one_hop	1	840	307	0.36547619047619045
distance	far_negative	0	60	60	1.0
distance	far_negative	1	60	31	0.5166666666666667
distance	far_negative	2	40	40	1.0
distance	far_negative	3	40	40	1.0
distance	far_positive	0	20	8	0.4
distance	far_positive	1	60	60	1.0
distance	far_positive	2	60	60	1.0
distance	nearby_neutral	0	120	1	0.008333333333333333
distance	nearby_neutral	1	120	1	0.008333333333333333
distance	not_touching_neutral	0	120	2	0.016666666666666666
distance	not_touching_neutral	1	120	0	0.0
distance	not_touching_neutral	2	120	16	0.13333333333333333
distance	not_touching_neutral	3	120	0	0.0
distance	touching_negative	0	120	111	0.925
distance	touching_negative	1	120	120	1.0
distance	touching_negative	2	120	120	1.0
distance	touching_positive	0	120	63	0.525
distance	touching_positive	1	120	120	1.0
distance	touching_positive	2	120	120	1.0
distance	transitivity_negative	0	480	321	0.66875
containment	filled_with	0	18	18	1.0
containment	filled_with	1	18	1	0.05555555555555555
containment	motion_out_of	0	54	51	0.9444444444444444
containment	motion_out_of	1	54	27	0.5
containment	motion_out_of	2	36	0	0.0
containment	motion_out_of	3	36	33	0.9166666666666666
containment	movement_into_container	0	54	54	1.0
containment	movement_into_container	1	54	19	0.35185185185185186
containment	movement_into_container	2	36	34	0.9444444444444444
containment	one_hop_neg	0	72	72	1.0
containment	one_hop_neg	1	72	72	1.0
containment	one_hop_pos	0	216	200	0.9259259259259259
containment	one_hop_pos	1	216	216	1.0
containment	one_hop_pos	2	216	183	0.8472222222222222
containment	two_hop_fits_in	0	528	513	0.9715909090909091
containment	two_hop_fits_in	1	792	0	0.0
containment	two_hop_fits_in	2	792	18	0.022727272727272728
containment	two_hop_fits_in	3	792	9	0.011363636363636364
containment	two_hop_fits_in	4	528	12	0.022727272727272728
containment	two_hop_fits_in	5	528	2	0.003787878787878788
containment	two_hop_fits_in	6	528	1	0.001893939393939394
containment	two_hop_is_in	0	1782	1363	0.7648709315375982
containment	two_hop_is_in	1	1188	1177	0.9907407407407407
containment	two_hop_is_in	2	1188	782	0.6582491582491582
containment	two_hop_is_in	3	1188	1170	0.9848484848484849
containment	two_hop_is_in	4	1188	986	0.82996632996633
containment	two_hop_is_in	5	1188	890	0.7491582491582491
containment	two_hop_is_in	6	1188	1059	0.8914141414141414
metaphor	containment_metaphors_action_into_movement	0	240	20	0.08333333333333333
metaphor	containment_metaphors_action_into_movement	1	240	29	0.12083333333333333
metaphor	containment_metaphors_could_not_contain	0	12	0	0.0
metaphor	containment_metaphors_energy_into	0	12	0	0.0
metaphor	containment_metaphors_energy_into	1	12	0	0.0
metaphor	containment_metaphors_entity_in_state	0	20	13	0.65
metaphor	containment_metaphors_filled_with_emotion	0	12	0	0.0
metaphor	containment_metaphors_got_out_of	0	12	2	0.16666666666666666
metaphor	containment_metaphors_in_motion	0	9	1	0.1111111111111111
metaphor	containment_metaphors_material_in	0	9	0	0.0
metaphor	containment_metaphors_outside_of	0	36	0	0.0
metaphor	distance_metaphors_close_to_goal	0	36	0	0.0
metaphor	distance_metaphors_close_to_goal	1	36	0	0.0
metaphor	distance_metaphors_close_to_goal	2	36	0	0.0
metaphor	distance_metaphors_far_from_achieving	0	36	0	0.0
metaphor	distance_metaphors_far_from_achieving	1	36	25	0.6944444444444444
metaphor	motion_metaphors_flying	0	4	4	1.0
metaphor	motion_metaphors_flying	1	4	0	0.0
metaphor	motion_metaphors_jumping	0	12	0	0.0
metaphor	motion_metaphors_jumping	1	12	0	0.0
metaphor	motion_metaphors_moving_toward_agreement	0	36	0	0.0
metaphor	motion_metaphors_skipping	0	16	0	0.0
metaphor	motion_metaphors_skipping	1	16	0	0.0
metaphor	orientation_metaphors_behind	0	12	12	1.0
metaphor	orientation_metaphors_down	0	4	4	1.0
metaphor	orientation_metaphors_down	1	4	4	1.0
metaphor	orientation_metaphors_looking_forward	0	12	12	1.0
