reasoning_type	fn_name	test_id	num_tests	num_correct	test_acc
motion	motion_one_hop	0	24	24	1.0
motion	motion_one_hop	1	36	36	1.0
motion	motion_one_hop	2	36	22	0.6111111111111112
motion	motion_one_hop_jerund	0	72	72	1.0
motion	motion_one_hop_jerund	1	72	72	1.0
motion	motion_one_hop_jerund	2	72	26	0.3611111111111111
motion	non_motion_one_hop	0	24	24	1.0
motion	non_motion_one_hop	1	36	28	0.7777777777777778
motion	non_motion_one_hop	2	36	36	1.0
motion	non_motion_one_hop_jerund	0	48	47	0.9791666666666666
motion	non_motion_one_hop_jerund	1	48	28	0.5833333333333334
motion	non_motion_one_hop_jerund	2	48	36	0.75
orientation	cardinals_neutral	0	96	30	0.3125
orientation	cardinals_one_hop	0	24	21	0.875
orientation	cardinals_one_hop	1	72	28	0.3888888888888889
orientation	left_right_above_below_one_hop	0	160	112	0.7
orientation	left_right_above_below_one_hop	1	640	148	0.23125
orientation	left_right_one_hop	0	360	326	0.9055555555555556
orientation	left_right_one_hop	1	840	319	0.37976190476190474
distance	far_negative	0	60	54	0.9
distance	far_negative	1	60	40	0.6666666666666666
distance	far_negative	2	40	40	1.0
distance	far_negative	3	40	40	1.0
distance	far_positive	0	20	13	0.65
distance	far_positive	1	60	60	1.0
distance	far_positive	2	60	60	1.0
distance	nearby_neutral	0	120	13	0.10833333333333334
distance	nearby_neutral	1	120	0	0.0
distance	not_touching_neutral	0	120	11	0.09166666666666666
distance	not_touching_neutral	1	120	0	0.0
distance	not_touching_neutral	2	120	9	0.075
distance	not_touching_neutral	3	120	0	0.0
distance	touching_negative	0	120	120	1.0
distance	touching_negative	1	120	120	1.0
distance	touching_negative	2	120	120	1.0
distance	touching_positive	0	120	66	0.55
distance	touching_positive	1	120	120	1.0
distance	touching_positive	2	120	120	1.0
distance	transitivity_negative	0	480	113	0.23541666666666666
containment	filled_with	0	18	18	1.0
containment	filled_with	1	18	0	0.0
containment	motion_out_of	0	54	23	0.42592592592592593
containment	motion_out_of	1	54	51	0.9444444444444444
containment	motion_out_of	2	36	0	0.0
containment	motion_out_of	3	36	29	0.8055555555555556
containment	movement_into_container	0	54	54	1.0
containment	movement_into_container	1	54	10	0.18518518518518517
containment	movement_into_container	2	36	35	0.9722222222222222
containment	one_hop_neg	0	72	72	1.0
containment	one_hop_neg	1	72	72	1.0
containment	one_hop_pos	0	216	216	1.0
containment	one_hop_pos	1	216	211	0.9768518518518519
containment	one_hop_pos	2	216	216	1.0
containment	two_hop_fits_in	0	528	520	0.9848484848484849
containment	two_hop_fits_in	1	792	95	0.11994949494949494
containment	two_hop_fits_in	2	792	33	0.041666666666666664
containment	two_hop_fits_in	3	792	10	0.012626262626262626
containment	two_hop_fits_in	4	528	4	0.007575757575757576
containment	two_hop_fits_in	5	528	2	0.003787878787878788
containment	two_hop_fits_in	6	528	0	0.0
containment	two_hop_is_in	0	1782	1567	0.8793490460157127
containment	two_hop_is_in	1	1188	926	0.7794612794612794
containment	two_hop_is_in	2	1188	873	0.7348484848484849
containment	two_hop_is_in	3	1188	1070	0.9006734006734006
containment	two_hop_is_in	4	1188	1154	0.9713804713804713
containment	two_hop_is_in	5	1188	665	0.5597643097643098
containment	two_hop_is_in	6	1188	1082	0.9107744107744108
metaphor	containment_metaphors_action_into_movement	0	240	10	0.041666666666666664
metaphor	containment_metaphors_action_into_movement	1	240	32	0.13333333333333333
metaphor	containment_metaphors_could_not_contain	0	12	0	0.0
metaphor	containment_metaphors_energy_into	0	12	0	0.0
metaphor	containment_metaphors_energy_into	1	12	12	1.0
metaphor	containment_metaphors_entity_in_state	0	20	8	0.4
metaphor	containment_metaphors_filled_with_emotion	0	12	0	0.0
metaphor	containment_metaphors_got_out_of	0	12	10	0.8333333333333334
metaphor	containment_metaphors_in_motion	0	9	6	0.6666666666666666
metaphor	containment_metaphors_material_in	0	9	0	0.0
metaphor	containment_metaphors_outside_of	0	36	0	0.0
metaphor	distance_metaphors_close_to_goal	0	36	0	0.0
metaphor	distance_metaphors_close_to_goal	1	36	0	0.0
metaphor	distance_metaphors_close_to_goal	2	36	0	0.0
metaphor	distance_metaphors_far_from_achieving	0	36	9	0.25
metaphor	distance_metaphors_far_from_achieving	1	36	2	0.05555555555555555
metaphor	motion_metaphors_flying	0	4	4	1.0
metaphor	motion_metaphors_flying	1	4	0	0.0
metaphor	motion_metaphors_jumping	0	12	0	0.0
metaphor	motion_metaphors_jumping	1	12	0	0.0
metaphor	motion_metaphors_moving_toward_agreement	0	36	0	0.0
metaphor	motion_metaphors_skipping	0	16	0	0.0
metaphor	motion_metaphors_skipping	1	16	0	0.0
metaphor	orientation_metaphors_behind	0	12	12	1.0
metaphor	orientation_metaphors_down	0	4	4	1.0
metaphor	orientation_metaphors_down	1	4	4	1.0
metaphor	orientation_metaphors_looking_forward	0	12	12	1.0
