,reasoning_type,fn_name,test_id,num_tests,num_correct,test_acc,model
0,motion,motion_one_hop,0,24,0,0.0,albert
1,motion,motion_one_hop,1,36,18,0.5,albert
2,motion,motion_one_hop,2,36,36,1.0,albert
3,motion,motion_one_hop_jerund,0,72,0,0.0,albert
4,motion,motion_one_hop_jerund,1,72,61,0.8472222222222222,albert
5,motion,motion_one_hop_jerund,2,72,45,0.625,albert
6,motion,non_motion_one_hop,0,24,0,0.0,albert
7,motion,non_motion_one_hop,1,36,22,0.6111111111111112,albert
8,motion,non_motion_one_hop,2,36,25,0.6944444444444444,albert
9,motion,non_motion_one_hop_jerund,0,48,0,0.0,albert
10,motion,non_motion_one_hop_jerund,1,48,15,0.3125,albert
11,motion,non_motion_one_hop_jerund,2,48,43,0.8958333333333334,albert
12,orientation,cardinals_neutral,0,96,16,0.1666666666666666,albert
13,orientation,cardinals_one_hop,0,24,0,0.0,albert
14,orientation,cardinals_one_hop,1,72,48,0.6666666666666666,albert
15,orientation,left_right_above_below_one_hop,0,520,0,0.0,albert
16,orientation,left_right_above_below_one_hop,1,1480,275,0.1858108108108108,albert
17,distance,far_negative,0,60,60,1.0,albert
18,distance,far_negative,1,60,60,1.0,albert
19,distance,far_negative,2,40,40,1.0,albert
20,distance,far_negative,3,40,31,0.775,albert
21,distance,far_positive,0,20,0,0.0,albert
22,distance,far_positive,1,60,0,0.0,albert
23,distance,far_positive,2,60,0,0.0,albert
24,distance,nearby_neutral,0,120,120,1.0,albert
25,distance,nearby_neutral,1,120,120,1.0,albert
26,distance,not_touching_neutral,0,120,0,0.0,albert
27,distance,not_touching_neutral,1,120,120,1.0,albert
28,distance,not_touching_neutral,2,120,0,0.0,albert
29,distance,not_touching_neutral,3,120,120,1.0,albert
30,distance,touching_negative,0,120,120,1.0,albert
31,distance,touching_negative,1,120,120,1.0,albert
32,distance,touching_negative,2,120,100,0.8333333333333334,albert
33,distance,touching_positive,0,120,0,0.0,albert
34,distance,touching_positive,1,120,0,0.0,albert
35,distance,touching_positive,2,120,0,0.0,albert
36,distance,transitivity_negative,0,480,0,0.0,albert
37,containment,filled_with,0,18,0,0.0,albert
38,containment,filled_with,1,18,2,0.1111111111111111,albert
39,containment,motion_out_of,0,54,0,0.0,albert
40,containment,motion_out_of,1,54,19,0.3518518518518518,albert
41,containment,motion_out_of,2,36,0,0.0,albert
42,containment,motion_out_of,3,36,0,0.0,albert
43,containment,movement_into_container,0,54,0,0.0,albert
44,containment,movement_into_container,1,54,0,0.0,albert
45,containment,movement_into_container,2,36,11,0.3055555555555556,albert
46,containment,one_hop_neg,0,72,72,1.0,albert
47,containment,one_hop_neg,1,72,1,0.0138888888888888,albert
48,containment,one_hop_pos,0,216,0,0.0,albert
49,containment,one_hop_pos,1,216,0,0.0,albert
50,containment,one_hop_pos,2,216,0,0.0,albert
51,containment,two_hop_fits_in,0,528,83,0.1571969696969697,albert
52,containment,two_hop_fits_in,1,792,792,1.0,albert
53,containment,two_hop_fits_in,2,792,792,1.0,albert
54,containment,two_hop_fits_in,3,792,792,1.0,albert
55,containment,two_hop_fits_in,4,528,528,1.0,albert
56,containment,two_hop_fits_in,5,528,528,1.0,albert
57,containment,two_hop_fits_in,6,528,528,1.0,albert
58,containment,two_hop_is_in,0,1782,23,0.0129068462401795,albert
59,containment,two_hop_is_in,1,1188,0,0.0,albert
60,containment,two_hop_is_in,2,1188,0,0.0,albert
61,containment,two_hop_is_in,3,1188,0,0.0,albert
62,containment,two_hop_is_in,4,1188,0,0.0,albert
63,containment,two_hop_is_in,5,1188,0,0.0,albert
64,containment,two_hop_is_in,6,1188,0,0.0,albert
65,metaphor,containment_metaphors_action_into_movement,0,240,0,0.0,albert
66,metaphor,containment_metaphors_action_into_movement,1,240,12,0.05,albert
67,metaphor,containment_metaphors_could_not_contain,0,12,12,1.0,albert
68,metaphor,containment_metaphors_energy_into,0,12,12,1.0,albert
69,metaphor,containment_metaphors_energy_into,1,12,12,1.0,albert
70,metaphor,containment_metaphors_entity_in_state,0,20,20,1.0,albert
71,metaphor,containment_metaphors_filled_with_emotion,0,12,12,1.0,albert
72,metaphor,containment_metaphors_got_out_of,0,12,12,1.0,albert
73,metaphor,containment_metaphors_in_motion,0,9,9,1.0,albert
74,metaphor,containment_metaphors_material_in,0,9,9,1.0,albert
75,metaphor,containment_metaphors_outside_of,0,36,36,1.0,albert
76,metaphor,distance_metaphors_close_to_goal,0,36,36,1.0,albert
77,metaphor,distance_metaphors_close_to_goal,1,36,36,1.0,albert
78,metaphor,distance_metaphors_close_to_goal,2,36,36,1.0,albert
79,metaphor,distance_metaphors_far_from_achieving,0,36,36,1.0,albert
80,metaphor,distance_metaphors_far_from_achieving,1,36,36,1.0,albert
81,metaphor,motion_metaphors_flying,0,4,0,0.0,albert
82,metaphor,motion_metaphors_flying,1,4,4,1.0,albert
83,metaphor,motion_metaphors_jumping,0,12,0,0.0,albert
84,metaphor,motion_metaphors_jumping,1,12,0,0.0,albert
