	reasoning_type	fn_name	test_id	num_tests	avg_test_acc	gpt	unifiedqav2	t5	deberta	roberta	albert	xlnet
86	metaphor	motion_metaphors_jumping	1	12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
12	orientation	cardinals_neutral	0	96	0.02678571428571427	0.0	0.0	0.0	0.0208333333333333	0.0	0.1666666666666666	0.0
85	metaphor	motion_metaphors_jumping	0	12	0.047619047619047616	0.3333333333333333	0.0	0.0	0.0	0.0	0.0	0.0
30	distance	not_touching_neutral	2	120	0.11190476190476188	0.0	0.0	0.425	0.3583333333333333	0.0	0.0	0.0
67	metaphor	containment_metaphors_action_into_movement	0	240	0.12678571428571425	0.6333333333333333	0.0	0.0166666666666666	0.0458333333333333	0.0333333333333333	0.0	0.1583333333333333
89	metaphor	motion_metaphors_skipping	1	16	0.13392857142857142	0.0625	0.0	0.0	0.0625	0.25	0.5625	0.0
80	metaphor	distance_metaphors_close_to_goal	2	36	0.14285714285714285	0.0	0.0	0.0	0.0	0.0	1.0	0.0
79	metaphor	distance_metaphors_close_to_goal	1	36	0.14285714285714285	0.0	0.0	0.0	0.0	0.0	1.0	0.0
73	metaphor	containment_metaphors_filled_with_emotion	0	12	0.14285714285714285	0.0	0.0	0.0	0.0	0.0	1.0	0.0
59	containment	two_hop_fits_in	6	528	0.14285714285714285	0.0	0.0	0.0	0.0	0.0	1.0	0.0
29	distance	not_touching_neutral	1	120	0.14285714285714285	0.0	0.0	0.0	0.0	0.0	1.0	0.0
31	distance	not_touching_neutral	3	120	0.14285714285714285	0.0	0.0	0.0	0.0	0.0	1.0	0.0
76	metaphor	containment_metaphors_material_in	0	9	0.14285714285714285	0.0	0.0	0.0	0.0	0.0	1.0	0.0
78	metaphor	distance_metaphors_close_to_goal	0	36	0.14285714285714285	0.0	0.0	0.0	0.0	0.0	1.0	0.0
5	motion	motion_one_hop_jerund	2	72	0.14285714285714285	0.0	0.0	0.0555555555555555	0.0	0.1111111111111111	0.625	0.2083333333333333
87	metaphor	motion_metaphors_moving_toward_agreement	0	36	0.14285714285714285	0.0	0.0	0.0	0.0	0.0	1.0	0.0
55	containment	two_hop_fits_in	2	792	0.14285714285714285	0.0	0.0	0.0	0.0	0.0	1.0	0.0
58	containment	two_hop_fits_in	5	528	0.14285714285714285	0.0	0.0	0.0	0.0	0.0	1.0	0.0
54	containment	two_hop_fits_in	1	792	0.14592352092352093	0.0	0.0	0.0	0.0	0.0	1.0	0.0214646464646464
57	containment	two_hop_fits_in	4	528	0.15043290043290042	0.0	0.0	0.0	0.0	0.0	1.0	0.053030303030303
40	containment	filled_with	1	18	0.15873015873015875	1.0	0.0	0.0	0.0	0.0	0.1111111111111111	0.0
56	containment	two_hop_fits_in	3	792	0.1626984126984127	0.0	0.0	0.005050505050505	0.0946969696969697	0.0	1.0	0.0391414141414141
28	distance	not_touching_neutral	0	120	0.17023809523809522	0.0	0.0	0.5333333333333333	0.625	0.0333333333333333	0.0	0.0
81	metaphor	distance_metaphors_far_from_achieving	0	36	0.19047619047619047	0.0	0.0	0.0	0.0	0.3333333333333333	1.0	0.0
82	metaphor	distance_metaphors_far_from_achieving	1	36	0.24603174603174605	0.3888888888888889	0.0	0.0	0.0	0.3333333333333333	1.0	0.0
68	metaphor	containment_metaphors_action_into_movement	1	240	0.24880952380952379	0.7458333333333333	0.0083333333333333	0.2916666666666667	0.3208333333333333	0.1666666666666666	0.05	0.1583333333333333
84	metaphor	motion_metaphors_flying	1	4	0.25	0.75	0.0	0.0	0.0	0.0	1.0	0.0
43	containment	motion_out_of	2	36	0.2619047619047619	0.5	0.0	0.5	0.5	0.0	0.0	0.3333333333333333
26	distance	nearby_neutral	0	120	0.28214285714285714	0.0	0.0	0.425	0.5333333333333333	0.0166666666666666	1.0	0.0
46	containment	movement_into_container	1	54	0.283068783068783	0.8888888888888888	0.0	0.4259259259259259	0.5925925925925926	0.0	0.0	0.074074074074074
75	metaphor	containment_metaphors_in_motion	0	9	0.2857142857142857	1.0	0.0	0.0	0.0	0.0	1.0	0.0
70	metaphor	containment_metaphors_energy_into	0	12	0.2857142857142857	1.0	0.0	0.0	0.0	0.0	1.0	0.0
88	metaphor	motion_metaphors_skipping	0	16	0.2857142857142857	0.0	0.0	0.0	0.0	0.5	0.5	1.0
27	distance	nearby_neutral	1	120	0.29166666666666663	0.0	0.0	0.3916666666666666	0.65	0.0	1.0	0.0
71	metaphor	containment_metaphors_energy_into	1	12	0.34523809523809523	1.0	0.0	0.0	0.0	0.3333333333333333	1.0	0.0833333333333333
77	metaphor	containment_metaphors_outside_of	0	36	0.3452380952380953	1.0	0.0	0.3055555555555556	0.0	0.1111111111111111	1.0	0.0
66	containment	two_hop_is_in	6	1188	0.36447811447811446	1.0	0.0042087542087542	0.7533670033670034	0.6952861952861953	0.0984848484848484	0.0	0.0
2	motion	motion_one_hop	2	36	0.36904761904761907	0.0	0.0	0.3333333333333333	0.3611111111111111	0.5555555555555556	1.0	0.3333333333333333
23	distance	far_positive	0	20	0.39285714285714285	0.55	1.0	0.3	0.1	0.5	0.0	0.3
