{\rtf1\ansi\ansicpg1252\cocoartf2636
\cocoatextscaling0\cocoaplatform0{\fonttbl\f0\fnil\fcharset0 Monaco;}
{\colortbl;\red255\green255\blue255;\red255\green255\blue255;\red0\green0\blue0;\red242\green242\blue242;
}
{\*\expandedcolortbl;;\csgray\c100000;\csgray\c0\c85000;\csgray\c95825;
}
\margl1440\margr1440\vieww17800\viewh13240\viewkind0
\pard\tx560\tx1120\tx1680\tx2240\tx2800\tx3360\tx3920\tx4480\tx5040\tx5600\tx6160\tx6720\pardirnatural\partightenfactor0

\f0\fs28 \cf2 \cb3 \CocoaLigature0 t5-Small\
\cf4 motion: 280 / 360 = 0.778\
	gen_motion_negative: 107 / 108 = 0.991\
	gen_motion_positive: 108 / 108 = 1\
	gen_non_motion_negative: 36 / 72 = 0.5\
	gen_non_motion_positive: 29 / 72 = 0.403\
orientation: 284 / 768 = 0.37\
	gen_orientation_cardinals_negative: 284 / 336 = 0.845\
	gen_orientation_cardinals_neutral: 0 / 384 = 0\
	gen_orientation_cardinals_positive: 0 / 48 = 0\
distance: 1060 / 2260 = 0.469\
	gen_distance_far_negative: 200 / 200 = 1\
	gen_distance_far_positive: 139 / 140 = 0.993\
	gen_distance_nearby_neutral: 0 / 240 = 0\
	gen_distance_not_touching_neutral: 1 / 480 = 0.00208\
	gen_distance_touching_negative: 360 / 360 = 1\
	gen_distance_touching_positive: 360 / 360 = 1\
	gen_distance_transitivity_negative: 0 / 480 = 0\
metaphor: 32 / 32 = 1\
	gen_motion_metaphors: 20 / 20 = 1\
	gen_orientation_metaphors: 12 / 12 = 1\
\
total: 0.4842105263157895\cf2 \
\
\
t5-Base\
\cf4 motion: 302 / 360 = 0.839\
	gen_motion_negative: 108 / 108 = 1\
	gen_motion_positive: 108 / 108 = 1\
	gen_non_motion_negative: 43 / 72 = 0.597\
	gen_non_motion_positive: 43 / 72 = 0.597\
orientation: 277 / 768 = 0.361\
	gen_orientation_cardinals_negative: 268 / 336 = 0.798\
	gen_orientation_cardinals_neutral: 0 / 384 = 0\
	gen_orientation_cardinals_positive: 9 / 48 = 0.188\
distance: 1298 / 2260 = 0.574\
	gen_distance_far_negative: 154 / 200 = 0.77\
	gen_distance_far_positive: 91 / 140 = 0.65\
	gen_distance_nearby_neutral: 0 / 240 = 0\
	gen_distance_not_touching_neutral: 0 / 480 = 0\
	gen_distance_touching_negative: 360 / 360 = 1\
	gen_distance_touching_positive: 218 / 360 = 0.606\
	gen_distance_transitivity_negative: 475 / 480 = 0.99\
metaphor: 32 / 32 = 1\
	gen_motion_metaphors: 20 / 20 = 1\
	gen_orientation_metaphors: 12 / 12 = 1\
\
total: 0.558187134502924\
\
\
t5-Large\
motion: 333 / 360 = 0.925\
	gen_motion_negative: 108 / 108 = 1\
	gen_motion_positive: 108 / 108 = 1\
	gen_non_motion_negative: 60 / 72 = 0.833\
	gen_non_motion_positive: 57 / 72 = 0.792\
orientation: 134 / 768 = 0.174\
	gen_orientation_cardinals_negative: 119 / 336 = 0.354\
	gen_orientation_cardinals_neutral: 0 / 384 = 0\
	gen_orientation_cardinals_positive: 15 / 48 = 0.312\
distance: 1427 / 2260 = 0.631\
	gen_distance_far_negative: 198 / 200 = 0.99\
	gen_distance_far_positive: 125 / 140 = 0.893\
	gen_distance_nearby_neutral: 21 / 240 = 0.0875\
	gen_distance_not_touching_neutral: 0 / 480 = 0\
	gen_distance_touching_negative: 360 / 360 = 1\
	gen_distance_touching_positive: 266 / 360 = 0.739\
	gen_distance_transitivity_negative: 457 / 480 = 0.952\
