reasoning_type,num_tests,acc_wo_partial_credit,acc_w_partial_credit,stdev_acc_w_partial_credit,size,model
motion,12,0.25,0.7349537037037034,0.2509920090309524,110000000.0,XLNet
orientation,7,0.1428571428571428,0.3318239795918367,0.3971583529622359,110000000.0,XLNet
distance,20,0.55,0.6101041666666667,0.4719884774333597,110000000.0,XLNet
containment,28,0.2857142857142857,0.5342412217412217,0.4319803778857161,110000000.0,XLNet
metaphor,27,0.2962962962962963,0.3358024691358025,0.4495643456717327,110000000.0,XLNet
motion,12,0.4166666666666667,0.767361111111111,0.3077115122038796,1320000000.0,DeBERTa
orientation,7,0.1428571428571428,0.5497059240362812,0.3390786480875375,1320000000.0,DeBERTa
distance,20,0.55,0.7096875,0.3663186529085708,1320000000.0,DeBERTa
containment,28,0.25,0.5706444404361071,0.416380876494569,1320000000.0,DeBERTa
metaphor,27,0.1481481481481481,0.2276234567901234,0.3939488085662484,1320000000.0,DeBERTa
motion,12,0.4166666666666667,0.7667824074074073,0.2535666733798764,355000000.0,RoBERTa
orientation,7,0.1428571428571428,0.5387117346938776,0.3425798806556992,355000000.0,RoBERTa
distance,20,0.55,0.6385416666666667,0.4384293205263788,355000000.0,RoBERTa
containment,28,0.2857142857142857,0.5335497835497834,0.4424151723404446,355000000.0,RoBERTa
metaphor,27,0.1481481481481481,0.2596707818930041,0.3506072613958063,355000000.0,RoBERTa
motion,12,0.0833333333333333,0.3020833333333333,0.4307095378773478,770000000.0,UnifiedQA
orientation,7,0.4285714285714285,0.4285714285714285,0.4948716593053934,770000000.0,UnifiedQA
distance,20,0.3,0.3,0.4582575694955839,770000000.0,UnifiedQA
containment,28,0.5,0.5,0.5,770000000.0,UnifiedQA
metaphor,27,0.074074074074074,0.0997942386831275,0.2696611765965275,770000000.0,UnifiedQA
motion,12,0.5,0.8396990740740741,0.1826238889183707,,
orientation,7,0.0,0.4321924603174603,0.2370595965963735,,
distance,20,0.45,0.6395833333333333,0.411787052235605,,
containment,28,0.2857142857142857,0.5767746913580247,0.4321394075164343,,
metaphor,27,0.1481481481481481,0.2006687242798354,0.376337230592111,,
motion,12,0.1666666666666666,0.3298611111111111,0.4527623335811809,220000000.0,UnifiedQA
orientation,7,0.1428571428571428,0.3237563775510204,0.402892958753844,220000000.0,UnifiedQA
distance,20,0.35,0.3991666666666666,0.4888897569436738,220000000.0,UnifiedQA
containment,28,0.0,0.2385536916786917,0.3127238519633553,220000000.0,UnifiedQA
metaphor,27,0.8518518518518519,0.9205246913580248,0.2610739875252862,220000000.0,UnifiedQA
motion,12,0.3333333333333333,0.3333333333333333,0.4714045207910317,6700000000.0,GPT
orientation,7,0.4285714285714285,0.4285714285714285,0.4948716593053934,6700000000.0,GPT
distance,20,0.4,0.4,0.4898979485566356,6700000000.0,GPT
containment,28,0.2857142857142857,0.2857142857142857,0.4517539514526256,6700000000.0,GPT
metaphor,27,0.925925925925926,0.925925925925926,0.2618914004394621,6700000000.0,GPT
motion,12,0.3333333333333333,0.8107638888888888,0.20594942011219,,cross-encoder-roberta
orientation,7,0.0,0.2348816609977324,0.2789643290356332,,cross-encoder-roberta
distance,20,0.55,0.595625,0.4616423636052047,,cross-encoder-roberta
containment,28,0.2142857142857142,0.5470052709636043,0.4328487953593882,,cross-encoder-roberta
metaphor,27,0.2222222222222222,0.2861111111111111,0.419257377956779,,cross-encoder-roberta
motion,12,0.3333333333333333,0.6440972222222222,0.4358537977190415,175000000000.0,GPT
orientation,7,0.1428571428571428,0.6796697845804989,0.3373939287163744,175000000000.0,GPT
distance,20,0.3,0.6171875,0.4256836183936962,175000000000.0,GPT
containment,28,0.2142857142857142,0.6135161135161135,0.3721177640188384,175000000000.0,GPT
metaphor,27,0.3333333333333333,0.4980452674897119,0.4443714991674187,175000000000.0,GPT
motion,12,0.0,0.2905092592592592,0.2593083410881484,13000000000.0,GPT
orientation,7,0.0,0.1993693310657596,0.2258188537188591,13000000000.0,GPT
distance,20,0.1,0.34875,0.3881247204328927,13000000000.0,GPT
containment,28,0.0,0.4699074074074075,0.2512931338500881,13000000000.0,GPT
metaphor,27,0.2222222222222222,0.4720679012345679,0.38823400424424,13000000000.0,GPT
motion,12,0.3333333333333333,0.7835648148148149,0.2236972410996233,86000000.0,DeBERTa
orientation,7,0.0,0.4949121315192744,0.3470149799179086,86000000.0,DeBERTa
distance,20,0.45,0.5882291666666666,0.4757182412437885,86000000.0,DeBERTa
containment,28,0.1785714285714285,0.5110078964245631,0.394287477367909,86000000.0,DeBERTa
metaphor,27,0.2222222222222222,0.283179012345679,0.4235579527688708,86000000.0,DeBERTa
motion,12,0.6666666666666666,0.8512731481481483,0.2424340322838993,,
orientation,7,0.2857142857142857,0.6193842120181406,0.3635424783160255,,
distance,20,0.55,0.6940625,0.3976271170566087,,
containment,28,0.3571428571428571,0.7067274931858265,0.3557478895621236,,
metaphor,27,0.1851851851851851,0.2237139917695473,0.383322323067174,,
motion,12,0.3333333333333333,0.3333333333333333,0.4714045207910317,60000000.0,UnifiedQA
orientation,7,0.4285714285714285,0.4285714285714285,0.4948716593053934,60000000.0,UnifiedQA
distance,20,0.4,0.4,0.4898979485566356,60000000.0,UnifiedQA
containment,28,0.2857142857142857,0.2857142857142857,0.4517539514526256,60000000.0,UnifiedQA
metaphor,27,0.925925925925926,0.925925925925926,0.2618914004394621,60000000.0,UnifiedQA
motion,12,0.0833333333333333,0.4571759259259259,0.3658524354762392,11000000.0,ALBERT
orientation,7,0.0,0.1721938775510204,0.2183942660946058,11000000.0,ALBERT
distance,20,0.45,0.5304166666666668,0.4831269315039728,11000000.0,ALBERT
containment,28,0.25,0.2840182579765913,0.4224047480623599,11000000.0,ALBERT
metaphor,27,0.7037037037037037,0.7449074074074075,0.4121738224889231,11000000.0,ALBERT
motion,12,0.6666666666666666,0.9166666666666666,0.139351082808263,,
orientation,7,0.0,0.5343076814058957,0.2337275640813868,,
distance,20,0.45,0.6182291666666667,0.410133613793352,,
containment,28,0.3571428571428571,0.6637355699855699,0.4183243767191888,,
metaphor,27,0.1851851851851851,0.2129629629629629,0.3851228582052856,,
motion,12,0.4166666666666667,0.7986111111111112,0.2987725661708187,3000000000.0,T5
orientation,7,0.1428571428571428,0.3369614512471655,0.4138505649327742,3000000000.0,T5
distance,20,0.55,0.7004166666666667,0.3839621201658078,3000000000.0,T5
containment,28,0.1785714285714285,0.5070747154080487,0.4113097158064294,3000000000.0,T5
metaphor,27,0.1851851851851851,0.2498971193415637,0.396452376009354,3000000000.0,T5
motion,12,0.5,0.8344907407407406,0.236142313660846,,
orientation,7,0.0,0.4949050453514739,0.2659934121047341,,
distance,20,0.4,0.6146875,0.444961899020423,,
containment,28,0.1785714285714285,0.5482578763828764,0.4022371063058604,,
metaphor,27,0.2222222222222222,0.2892489711934156,0.4119821701215079,,
motion,12,0.25,0.8078703703703703,0.2179001962868279,,
orientation,7,0.1428571428571428,0.5846797052154195,0.3061412956374068,,
distance,20,0.45,0.531875,0.4775030450019257,,
containment,28,0.1071428571428571,0.6063762626262627,0.3651335136591082,,
metaphor,27,0.1481481481481481,0.2278292181069958,0.3778909449615506,,
motion,12,0.3333333333333333,0.6313657407407408,0.3514494798136462,60000000.0,T5
orientation,7,0.0,0.3552012471655328,0.2495810243166072,60000000.0,T5
distance,20,0.3,0.5244791666666667,0.4544493935545335,60000000.0,T5
containment,28,0.1071428571428571,0.4513888888888888,0.4068023145514066,60000000.0,T5
metaphor,27,0.2592592592592592,0.3556069958847736,0.4290179769394853,60000000.0,T5
motion,12,0.3333333333333333,0.7337962962962964,0.2828718857933584,770000000.0,T5
orientation,7,0.0,0.2987634637188208,0.1954191498442876,770000000.0,T5
distance,20,0.45,0.6280208333333333,0.450809204433631,770000000.0,T5
containment,28,0.25,0.4429262866762867,0.4264663868421863,770000000.0,T5
